ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.103921,0.400,7,1760.73
1,fepgate,6,0.103169,0.400,7,434.12
2,fepgate,6,0.106617,0.400,7,1756.97
3,fepgate,6,0.099289,0.400,7,418.18
4,fepgate,6,0.101693,0.200,7,1763.66
5,fepgate,6,0.100654,0.200,7,421.82
6,fepgate,6,0.103305,0.200,7,1755.11
7,fepgate,6,0.103895,0.400,7,416.17
8,fepgate,6,0.104784,0.400,7,1756.08
9,fepgate,6,0.107048,0.400,7,422.15
10,fepgate,6,0.103281,0.400,7,1757.95
11,fepgate,6,0.103194,0.400,7,415.41
12,fepgate,6,0.105015,0.400,7,1755.96
13,fepgate,6,0.106019,0.200,7,420.91
14,fepgate,6,0.103231,0.600,7,1750.08
15,fepgate,6,0.102299,0.200,7,415.08
16,fepgate,6,0.103775,0.200,7,1751.29
17,fepgate,6,0.101255,0.200,7,421.36
18,fepgate,6,0.104172,0.400,7,1752.88
19,fepgate,6,0.099865,0.400,7,415.90
20,fepgate,6,0.106295,0.200,7,1750.84
21,fepgate,6,0.104254,0.200,7,420.18
22,fepgate,6,0.102453,0.200,7,1751.59
23,fepgate,6,0.100310,0.400,7,437.74
24,fepgate,6,0.100621,0.200,7,1746.69
25,fepgate,6,0.104969,0.400,7,420.36
26,fepgate,6,0.099539,0.400,7,1753.71
27,fepgate,6,0.104885,0.400,7,416.13
28,fepgate,6,0.104118,0.400,7,1750.43
29,fepgate,6,0.100472,0.200,7,421.57
30,fepgate,6,0.103374,0.400,7,1752.27
31,fepgate,6,0.104706,0.200,7,417.01
32,fepgate,6,0.101455,0.200,7,1754.20
33,fepgate,6,0.100426,0.400,7,421.87
34,fepgate,6,0.101161,0.400,2,1754.64
35,fepgate,6,0.107652,0.200,7,417.90
36,fepgate,6,0.106666,0.400,7,1754.34
37,fepgate,6,0.102716,0.200,7,417.78
38,fepgate,6,0.102994,0.400,7,1734.66
39,fepgate,6,0.102881,0.200,7,413.48
40,fepgate,6,0.102255,0.400,7,1736.43
41,fepgate,6,0.102266,0.400,7,417.82
42,fepgate,6,0.101241,0.400,7,1749.42
43,fepgate,6,0.103492,0.400,7,417.69
44,fepgate,6,0.106006,0.200,7,1747.31
45,fepgate,6,0.097219,0.400,7,419.41
46,fepgate,6,0.105220,0.600,7,1746.56
47,fepgate,6,0.105713,0.200,7,417.66
48,fepgate,6,0.105209,0.600,7,1743.16
49,fepgate,6,0.104090,0.200,7,420.71
50,fepgate,6,0.099229,0.200,7,1744.67
51,fepgate,6,0.102570,0.400,7,417.39
52,fepgate,6,0.105235,0.600,7,1746.10
53,fepgate,6,0.104278,0.400,7,419.08
54,fepgate,6,0.102340,0.600,7,1746.41
55,fepgate,6,0.103550,0.200,7,417.46
56,fepgate,6,0.101119,0.600,7,1745.32
57,fepgate,6,0.103262,0.400,7,419.15
58,fepgate,6,0.104267,0.400,7,1746.34
59,fepgate,6,0.094737,0.400,7,417.65
60,fepgate,6,0.103736,0.400,7,1753.97
61,fepgate,6,0.108291,0.200,7,419.38
62,fepgate,6,0.104200,0.400,7,1746.05
63,fepgate,6,0.105843,0.400,7,418.89
64,fepgate,6,0.101194,0.400,7,1749.14
65,fepgate,6,0.105798,0.400,7,419.67
66,fepgate,6,0.102110,0.400,7,1747.97
67,fepgate,6,0.103886,0.400,7,418.40
68,fepgate,6,0.101593,0.400,7,1745.72
69,fepgate,6,0.104008,0.400,7,417.42
70,fepgate,6,0.102713,0.600,7,1744.04
71,fepgate,6,0.100616,0.400,7,417.41
72,fepgate,6,0.100154,0.400,7,1746.23
73,fepgate,6,0.105539,0.400,7,421.16
74,fepgate,6,0.100959,0.400,7,1744.06
75,fepgate,6,0.103097,0.400,7,421.16
76,fepgate,6,0.105412,0.200,7,1744.51
77,fepgate,6,0.103808,0.400,7,419.59
78,fepgate,6,0.102747,0.400,7,1753.07
79,fepgate,6,0.103683,0.400,7,420.87
80,fepgate,6,0.100813,0.400,7,1744.93
81,fepgate,6,0.102790,0.400,7,417.78
82,fepgate,6,0.102044,0.200,7,1747.37
83,fepgate,6,0.105084,0.400,7,417.79
84,fepgate,6,0.102563,0.400,7,1747.16
85,fepgate,6,0.104936,0.400,7,417.89
86,fepgate,6,0.105046,0.400,7,1746.15
87,fepgate,6,0.102207,0.400,7,417.85
88,fepgate,6,0.101999,0.400,7,1743.99
89,fepgate,6,0.099194,0.400,7,418.94
90,fepgate,6,0.104884,0.400,7,1752.26
91,fepgate,6,0.102807,0.400,7,420.61
92,fepgate,6,0.097592,0.400,7,1764.93
93,fepgate,6,0.099774,0.400,7,426.68
94,fepgate,6,0.106341,0.600,7,1755.73
95,fepgate,6,0.104303,0.600,7,428.32
96,fepgate,6,0.104591,0.200,7,1758.68
97,fepgate,6,0.102637,0.400,7,446.12
98,fepgate,6,0.101873,0.600,7,1747.45
99,fepgate,6,0.104029,0.200,7,418.33
100,fepgate,6,0.098291,0.400,7,1742.94
101,fepgate,6,0.104907,0.200,7,416.57
102,fepgate,6,0.102157,0.200,7,1742.36
103,fepgate,6,0.099866,0.600,7,418.76
104,fepgate,6,0.102849,0.400,7,1744.33
105,fepgate,6,0.106972,0.200,7,414.14
106,fepgate,6,0.101408,0.600,7,1733.21
107,fepgate,6,0.102014,0.400,7,417.91
108,fepgate,6,0.101360,0.400,7,1733.00
109,fepgate,6,0.106333,0.400,7,414.33
110,fepgate,6,0.106473,0.200,7,1737.07
111,fepgate,6,0.103940,0.200,7,417.74
112,fepgate,6,0.101339,0.400,7,1735.48
113,fepgate,6,0.106170,0.400,7,413.73
114,fepgate,6,0.106755,0.400,7,1736.67
115,fepgate,6,0.104905,0.400,7,417.93
116,fepgate,6,0.102157,0.400,7,1742.11
117,fepgate,6,0.101355,0.400,7,414.36
118,fepgate,6,0.099065,0.400,7,1736.10
119,fepgate,6,0.103355,0.400,7,419.77
120,fepgate,6,0.103969,0.400,7,1739.52
121,fepgate,6,0.102081,0.600,7,414.89
122,fepgate,6,0.104625,0.400,7,1739.60
123,fepgate,6,0.100546,0.400,7,421.31
124,fepgate,6,0.099264,0.200,7,1736.26
125,fepgate,6,0.102130,0.400,7,414.58
126,fepgate,6,0.103420,0.400,7,1738.83
127,fepgate,6,0.107177,0.400,7,418.72
128,fepgate,6,0.099077,0.400,7,1738.23
129,fepgate,6,0.105758,0.400,7,414.65
130,fepgate,6,0.103313,0.400,7,1736.38
131,fepgate,6,0.102014,0.400,7,417.55
132,fepgate,6,0.101345,0.400,7,1736.01
133,fepgate,6,0.103688,0.400,7,414.86
134,fepgate,6,0.101583,0.400,7,1743.20
135,fepgate,6,0.102695,0.200,7,419.07
136,fepgate,6,0.101532,0.400,7,1743.29
137,fepgate,6,0.103997,0.400,7,423.51
138,fepgate,6,0.106174,0.400,7,1747.08
139,fepgate,6,0.105736,0.200,7,418.37
140,fepgate,6,0.107047,0.400,7,1746.30
141,fepgate,6,0.103046,0.200,7,421.62
142,fepgate,6,0.102064,0.200,7,1744.86
143,fepgate,6,0.107481,0.200,7,419.18
144,fepgate,6,0.103767,0.400,7,1744.94
145,fepgate,6,0.100821,0.400,7,420.91
146,fepgate,6,0.107994,0.200,7,1743.32
147,fepgate,6,0.103184,0.200,7,421.35
148,fepgate,6,0.100477,0.400,7,1740.62
149,fepgate,6,0.103536,0.400,7,421.40
150,fepgate,6,0.106261,0.600,7,1749.93
151,fepgate,6,0.101853,0.400,7,422.00
152,fepgate,6,0.098301,0.400,7,1747.42
153,fepgate,6,0.104759,0.400,7,442.09
154,fepgate,6,0.099909,0.200,7,1747.59
155,fepgate,6,0.101228,0.400,7,420.07
156,fepgate,6,0.102895,0.200,7,1749.09
157,fepgate,6,0.103763,0.400,7,422.07
158,fepgate,6,0.107482,0.200,7,1746.83
159,fepgate,6,0.108993,0.200,7,419.14
160,fepgate,6,0.100839,0.400,7,1746.00
161,fepgate,6,0.102260,0.400,7,421.93
162,fepgate,6,0.103930,0.400,7,1744.99
163,fepgate,6,0.103892,0.400,7,419.41
164,fepgate,6,0.099661,0.400,7,1745.81
165,fepgate,6,0.104949,0.200,7,421.17
166,fepgate,6,0.104636,0.400,7,1746.30
167,fepgate,6,0.105700,0.400,7,418.51
168,fepgate,6,0.103116,0.400,7,1746.16
