ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.113977,0.200,7,1748.75
1,fepgate,6,0.118776,0.000,7,421.59
2,fepgate,6,0.119592,0.200,7,1753.34
3,fepgate,6,0.117048,0.200,7,426.27
4,fepgate,6,0.121869,0.400,7,1756.54
5,fepgate,6,0.120502,0.200,7,429.72
6,fepgate,6,0.115886,0.200,7,1752.01
7,fepgate,6,0.119415,0.200,7,425.88
8,fepgate,6,0.118568,0.400,7,1749.38
9,fepgate,6,0.116603,0.400,7,428.38
10,fepgate,6,0.118325,0.400,7,1747.22
11,fepgate,6,0.119571,0.400,7,425.45
12,fepgate,6,0.116702,0.600,7,1745.70
13,fepgate,6,0.119180,0.400,7,429.47
14,fepgate,6,0.118070,0.200,7,1746.14
15,fepgate,6,0.120096,0.400,7,425.02
16,fepgate,6,0.118767,0.400,7,1747.85
17,fepgate,6,0.115181,0.200,7,428.23
18,fepgate,6,0.119487,0.200,7,1744.26
19,fepgate,6,0.117533,0.400,7,424.95
20,fepgate,6,0.111009,0.600,7,1746.14
21,fepgate,6,0.115911,0.400,7,428.89
22,fepgate,6,0.112704,0.200,7,1758.36
23,fepgate,6,0.113367,0.400,7,429.27
24,fepgate,6,0.117963,0.200,7,1756.66
25,fepgate,6,0.121300,0.400,7,430.26
26,fepgate,6,0.119420,0.200,7,1756.18
27,fepgate,6,0.117903,0.200,7,429.01
28,fepgate,6,0.112735,0.200,7,1755.73
29,fepgate,6,0.120146,0.400,7,428.15
30,fepgate,6,0.114431,0.200,7,1760.14
31,fepgate,6,0.117142,0.200,7,429.28
32,fepgate,6,0.121505,0.200,7,1757.97
33,fepgate,6,0.113833,0.200,7,429.72
34,fepgate,6,0.112379,0.400,7,1759.98
35,fepgate,6,0.111836,0.400,7,430.09
36,fepgate,6,0.114625,0.200,7,1757.44
37,fepgate,6,0.118666,0.200,7,430.13
38,fepgate,6,0.113648,0.200,7,1754.55
39,fepgate,6,0.111106,0.400,7,431.18
40,fepgate,6,0.118855,0.200,7,1761.86
41,fepgate,6,0.115941,0.200,7,429.54
42,fepgate,6,0.112430,0.200,2,1754.34
43,fepgate,6,0.120172,0.400,7,431.61
44,fepgate,6,0.117931,0.400,7,1755.34
45,fepgate,6,0.115219,0.200,7,428.85
46,fepgate,6,0.118905,0.200,7,1754.58
47,fepgate,6,0.116430,0.400,7,429.91
48,fepgate,6,0.116251,0.200,7,1757.12
49,fepgate,6,0.118184,0.200,7,429.01
50,fepgate,6,0.112874,0.400,7,1753.40
51,fepgate,6,0.102599,0.200,2,428.61
52,fepgate,6,0.114692,0.200,7,1755.50
53,fepgate,6,0.118236,0.200,7,429.99
54,fepgate,6,0.116669,0.400,7,1756.36
55,fepgate,6,0.118888,0.400,7,428.37
56,fepgate,6,0.118729,0.200,7,1756.64
57,fepgate,6,0.120085,0.200,7,428.42
58,fepgate,6,0.114571,0.200,7,1761.11
59,fepgate,6,0.120845,0.200,7,428.62
60,fepgate,6,0.117924,0.200,7,1757.51
61,fepgate,6,0.117017,0.200,7,429.48
62,fepgate,6,0.118985,0.400,7,1760.60
63,fepgate,6,0.117454,0.200,7,428.81
64,fepgate,6,0.117902,0.200,7,1756.76
65,fepgate,6,0.115657,0.200,7,430.11
66,fepgate,6,0.115118,0.200,7,1758.91
67,fepgate,6,0.116468,0.400,7,428.97
68,fepgate,6,0.113144,0.200,7,1753.31
69,fepgate,6,0.114643,0.200,7,428.96
70,fepgate,6,0.116946,0.200,7,1760.33
71,fepgate,6,0.111504,0.400,7,428.40
72,fepgate,6,0.117032,0.400,7,1754.15
73,fepgate,6,0.113093,0.400,7,427.46
74,fepgate,6,0.116547,0.200,7,1753.96
75,fepgate,6,0.115958,0.400,7,428.38
76,fepgate,6,0.121741,0.200,7,1756.76
77,fepgate,6,0.119159,0.200,7,448.55
78,fepgate,6,0.121529,0.200,7,1755.34
79,fepgate,6,0.117472,0.200,7,429.15
80,fepgate,6,0.119639,0.200,7,1768.27
81,fepgate,6,0.115916,0.200,7,431.93
82,fepgate,6,0.121864,0.200,7,1764.68
83,fepgate,6,0.116641,0.200,7,431.00
84,fepgate,6,0.119184,0.400,7,1765.80
85,fepgate,6,0.117672,0.000,7,432.57
86,fepgate,6,0.113107,0.400,7,1771.47
87,fepgate,6,0.115653,0.200,7,428.40
88,fepgate,6,0.117361,0.200,7,1745.96
89,fepgate,6,0.115300,0.400,7,432.48
90,fepgate,6,0.121198,0.200,7,1748.44
91,fepgate,6,0.117711,0.400,7,428.81
92,fepgate,6,0.118606,0.200,7,1749.35
93,fepgate,6,0.118591,0.200,7,450.92
94,fepgate,6,0.117206,0.200,7,1761.36
95,fepgate,6,0.121541,0.400,7,428.35
96,fepgate,6,0.114555,0.400,7,1757.04
97,fepgate,6,0.115674,0.400,7,428.75
98,fepgate,6,0.118520,0.400,7,1755.48
99,fepgate,6,0.121074,0.200,7,429.21
100,fepgate,6,0.115638,0.400,7,1754.20
101,fepgate,6,0.119328,0.200,7,428.43
102,fepgate,6,0.115177,0.200,7,1754.19
103,fepgate,6,0.116402,0.000,7,431.30
104,fepgate,6,0.121411,0.200,7,1753.94
105,fepgate,6,0.115356,0.400,7,427.82
106,fepgate,6,0.116572,0.200,7,1752.52
107,fepgate,6,0.115083,0.200,7,430.84
108,fepgate,6,0.115804,0.200,7,1754.36
109,fepgate,6,0.117104,0.200,7,431.18
110,fepgate,6,0.116213,0.400,7,1754.22
111,fepgate,6,0.121302,0.200,7,428.12
112,fepgate,6,0.116736,0.400,7,1762.43
113,fepgate,6,0.121215,0.200,7,428.92
114,fepgate,6,0.112907,0.400,7,1756.16
115,fepgate,6,0.121487,0.000,7,428.83
116,fepgate,6,0.119654,0.400,7,1756.86
117,fepgate,6,0.118441,0.200,7,428.89
118,fepgate,6,0.113275,0.400,7,1755.09
119,fepgate,6,0.114063,0.200,7,428.71
120,fepgate,6,0.116752,0.400,7,1757.28
121,fepgate,6,0.119603,0.200,7,430.07
122,fepgate,6,0.118212,0.400,7,1757.59
123,fepgate,6,0.115643,0.400,7,429.48
124,fepgate,6,0.121273,0.200,7,1757.96
125,fepgate,6,0.117587,0.200,7,429.03
126,fepgate,6,0.114991,0.400,7,1763.08
127,fepgate,6,0.113747,0.400,7,429.31
128,fepgate,6,0.118341,0.200,7,1753.43
129,fepgate,6,0.112558,0.400,7,428.78
130,fepgate,6,0.111495,0.200,7,1762.00
131,fepgate,6,0.117805,0.200,7,428.52
132,fepgate,6,0.115413,0.200,7,1754.06
133,fepgate,6,0.114736,0.400,7,428.43
134,fepgate,6,0.113862,0.200,7,1758.16
135,fepgate,6,0.116064,0.200,7,428.30
136,fepgate,6,0.116594,0.400,7,1753.56
137,fepgate,6,0.119078,0.200,7,427.97
138,fepgate,6,0.116232,0.400,7,1756.27
139,fepgate,6,0.120189,0.200,7,427.99
140,fepgate,6,0.117335,0.200,7,1756.81
141,fepgate,6,0.117339,0.200,7,428.14
142,fepgate,6,0.118950,0.400,7,1756.48
143,fepgate,6,0.118858,0.200,7,428.36
