ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.197122,0.200,7,3854.05
1,off,6,0.181372,0.200,7,2211.75
2,off,6,0.190843,0.000,7,2241.14
3,off,6,0.199214,0.200,7,2290.96
4,off,6,0.196633,0.200,7,2255.45
5,off,6,0.202410,0.000,7,2259.52
6,off,6,0.192694,0.000,7,2221.92
7,off,6,0.184353,0.000,7,2262.30
8,off,6,0.190085,0.200,7,2230.78
9,off,6,0.198033,0.000,7,2254.94
10,off,6,0.187444,0.000,7,2223.52
11,off,6,0.207656,0.000,7,2256.76
12,off,6,0.190878,0.000,7,2227.83
13,off,6,0.193633,0.000,7,2256.67
14,off,6,0.177924,0.200,7,2248.96
15,off,6,0.185498,0.200,7,2257.88
16,off,6,0.196142,0.200,7,2234.81
17,off,6,0.184226,0.000,7,2255.21
18,off,6,0.181650,0.200,7,2272.96
19,off,6,0.191475,0.200,7,2270.30
20,off,6,0.182547,0.200,2,2257.36
21,off,6,0.185575,0.000,7,2283.13
22,off,6,0.190464,0.200,7,2252.10
23,off,6,0.185110,0.200,7,2278.04
24,off,6,0.183727,0.200,7,2251.29
25,off,6,0.210288,0.000,7,2274.43
26,off,6,0.184431,0.200,7,2249.81
27,off,6,0.201633,0.200,7,2266.39
28,off,6,0.189736,0.200,7,2242.76
29,off,6,0.182300,0.200,7,2266.92
30,off,6,0.186923,0.200,7,2228.46
31,off,6,0.200361,0.200,7,2306.24
32,off,6,0.193144,0.000,7,2225.46
33,off,6,0.207253,0.000,7,2260.07
34,off,6,0.203315,0.000,7,2236.62
35,off,6,0.200829,0.000,7,2257.25
36,off,6,0.194336,0.000,7,2255.80
37,off,6,0.215811,0.200,7,2250.26
38,off,6,0.192882,0.200,7,2226.31
39,off,6,0.180419,0.200,7,2259.00
40,off,6,0.198052,0.200,7,2221.33
41,off,6,0.190592,0.200,7,2271.21
42,off,6,0.195752,0.200,7,2255.85
43,off,6,0.208078,0.000,7,2279.45
44,off,6,0.183869,0.200,7,2256.07
45,off,6,0.196801,0.200,7,2269.48
46,off,6,0.189084,0.200,7,2245.27
47,off,6,0.176901,0.200,7,2276.59
48,off,6,0.182514,0.200,7,2244.28
49,off,6,0.190876,0.000,7,2297.82
50,off,6,0.192965,0.000,7,2257.08
51,off,6,0.197252,0.000,7,2289.20
52,off,6,0.193465,0.000,7,2245.47
53,off,6,0.185647,0.000,7,2279.32
54,off,6,0.196060,0.200,7,2247.81
55,off,6,0.185350,0.200,7,2277.09
56,off,6,0.199935,0.000,7,2247.36
57,off,6,0.181538,0.200,7,2274.05
58,off,6,0.185903,0.200,1,2260.30
59,off,6,0.217263,0.000,7,2261.32
60,off,6,0.190511,0.200,7,2243.69
61,off,6,0.196392,0.200,7,2261.63
62,off,6,0.186793,0.200,7,2233.78
63,off,6,0.172497,0.200,7,2247.98
64,off,6,0.191966,0.200,7,2233.95
65,off,6,0.179695,0.200,7,2255.99
66,off,6,0.180094,0.200,7,2225.30
67,off,6,0.200252,0.200,7,2259.40
68,off,6,0.217175,0.000,7,2235.71
69,off,6,0.195027,0.200,7,2260.96
70,off,6,0.195079,0.000,7,2224.26
71,off,6,0.184924,0.200,1,2252.52
72,off,6,0.192628,0.000,7,2216.92
73,off,6,0.185548,0.000,7,2264.81
74,off,6,0.188591,0.200,7,2226.40
75,off,6,0.183541,0.200,7,2252.72
76,off,6,0.194463,0.200,7,2236.93
77,off,6,0.190415,0.000,7,2254.90
78,off,6,0.192112,0.200,7,2230.55
79,off,6,0.194962,0.000,7,2247.45
80,off,6,0.204281,0.000,7,2247.32
81,off,6,0.183843,0.200,7,2340.39
82,off,6,0.195614,0.200,7,2308.99
83,off,6,0.174097,0.200,7,2359.37
84,off,6,0.198021,0.200,7,2245.88
85,off,6,0.211501,0.000,7,2294.70
86,off,6,0.206930,0.000,7,2266.21
87,off,6,0.196415,0.000,7,2172.72
88,off,6,0.181713,0.200,7,2319.36
89,off,6,0.190833,0.000,7,2186.79
90,off,6,0.221972,0.000,7,2279.03
91,off,6,0.192616,0.200,7,2177.71
92,off,6,0.183570,0.200,1,2271.19
93,off,6,0.205293,0.200,7,2162.82
94,off,6,0.195808,0.200,7,2283.48
95,off,6,0.212243,0.000,7,2158.88
96,off,6,0.195167,0.000,7,2253.78
97,off,6,0.199171,0.200,7,2194.33
98,off,6,0.190931,0.200,7,2201.33
99,off,6,0.198537,0.000,7,3604.74
