ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.117882,0.200,7,1749.20
1,fepgate,6,0.115544,0.200,7,428.57
2,fepgate,6,0.119333,0.200,7,1722.14
3,fepgate,6,0.114032,0.400,7,427.56
4,fepgate,6,0.117346,0.400,7,1722.71
5,fepgate,6,0.118527,0.400,7,424.85
6,fepgate,6,0.117794,0.200,7,1744.58
7,fepgate,6,0.115601,0.200,7,465.60
8,fepgate,6,0.120842,0.200,7,1786.20
9,fepgate,6,0.119960,0.400,7,428.14
10,fepgate,6,0.119861,0.200,7,1721.50
11,fepgate,6,0.114747,0.200,7,424.14
12,fepgate,6,0.120025,0.200,7,1719.36
13,fepgate,6,0.120334,0.200,7,424.73
14,fepgate,6,0.115500,0.400,7,1717.41
15,fepgate,6,0.118354,0.200,7,424.47
16,fepgate,6,0.111767,0.200,7,1769.74
17,fepgate,6,0.119389,0.400,7,439.80
18,fepgate,6,0.116168,0.400,7,1756.62
19,fepgate,6,0.116768,0.200,7,445.76
20,fepgate,6,0.113221,0.400,7,1737.15
21,fepgate,6,0.121499,0.400,7,425.33
22,fepgate,6,0.120545,0.400,7,1718.60
23,fepgate,6,0.118504,0.200,7,446.54
24,fepgate,6,0.121066,0.200,7,1806.38
25,fepgate,6,0.115422,0.200,7,467.88
26,fepgate,6,0.118747,0.200,7,1787.29
27,fepgate,6,0.117358,0.200,7,454.87
28,fepgate,6,0.121757,0.000,7,1747.38
29,fepgate,6,0.117631,0.400,7,432.33
30,fepgate,6,0.119305,0.200,7,1845.80
31,fepgate,6,0.115520,0.400,7,459.34
32,fepgate,6,0.118625,0.200,7,1735.20
33,fepgate,6,0.115972,0.200,7,423.45
34,fepgate,6,0.113665,0.200,7,1720.57
35,fepgate,6,0.121572,0.200,7,423.58
36,fepgate,6,0.118229,0.400,7,1718.10
37,fepgate,6,0.115709,0.200,7,424.54
38,fepgate,6,0.113078,0.400,7,1731.69
39,fepgate,6,0.116074,0.400,7,423.61
40,fepgate,6,0.116493,0.400,7,1723.69
41,fepgate,6,0.113767,0.200,7,425.79
42,fepgate,6,0.116256,0.200,7,1773.45
43,fepgate,6,0.117580,0.400,7,468.87
44,fepgate,6,0.120529,0.400,7,1829.42
45,fepgate,6,0.119205,0.600,7,459.47
46,fepgate,6,0.116603,0.400,7,1821.83
47,fepgate,6,0.118736,0.200,7,435.37
48,fepgate,6,0.119423,0.200,7,1732.74
49,fepgate,6,0.117982,0.200,7,427.49
50,fepgate,6,0.117374,0.200,7,1736.16
51,fepgate,6,0.118790,0.000,7,423.55
52,fepgate,6,0.111897,0.200,7,1725.08
53,fepgate,6,0.117476,0.200,7,425.24
54,fepgate,6,0.118483,0.200,7,1724.80
55,fepgate,6,0.117735,0.400,7,424.28
56,fepgate,6,0.113857,0.200,7,1731.96
57,fepgate,6,0.120520,0.200,7,424.43
58,fepgate,6,0.121323,0.200,7,1728.05
59,fepgate,6,0.115204,0.200,7,424.35
60,fepgate,6,0.118086,0.400,7,1725.38
61,fepgate,6,0.120208,0.200,7,428.33
62,fepgate,6,0.119394,0.200,7,1723.21
63,fepgate,6,0.117572,0.200,7,425.60
64,fepgate,6,0.116527,0.400,7,1725.18
65,fepgate,6,0.115691,0.200,7,425.47
66,fepgate,6,0.117407,0.400,7,1792.65
67,fepgate,6,0.119350,0.200,7,426.19
68,fepgate,6,0.117196,0.400,7,1722.04
69,fepgate,6,0.116238,0.400,7,425.42
70,fepgate,6,0.118550,0.200,7,1721.93
71,fepgate,6,0.113109,0.200,7,424.02
72,fepgate,6,0.116786,0.200,7,1726.29
73,fepgate,6,0.118316,0.000,7,423.83
74,fepgate,6,0.108051,0.400,7,1730.56
75,fepgate,6,0.113873,0.200,7,423.64
76,fepgate,6,0.117752,0.400,7,1723.34
77,fepgate,6,0.120966,0.400,7,424.14
78,fepgate,6,0.119167,0.200,7,1739.08
79,fepgate,6,0.120293,0.200,7,423.38
80,fepgate,6,0.121107,0.400,7,1723.87
81,fepgate,6,0.118293,0.200,7,424.33
82,fepgate,6,0.116822,0.400,7,1723.19
83,fepgate,6,0.113682,0.400,7,423.14
84,fepgate,6,0.117716,0.200,7,1718.06
85,fepgate,6,0.121616,0.200,7,422.25
86,fepgate,6,0.118120,0.400,7,1714.78
87,fepgate,6,0.118568,0.200,7,455.56
88,fepgate,6,0.116625,0.200,7,1723.18
89,fepgate,6,0.117839,0.400,7,423.64
90,fepgate,6,0.119198,0.200,7,1726.03
91,fepgate,6,0.119754,0.200,7,424.73
92,fepgate,6,0.114876,0.200,7,1725.35
93,fepgate,6,0.116780,0.200,7,424.96
94,fepgate,6,0.117787,0.200,7,1724.76
95,fepgate,6,0.114036,0.400,7,427.08
96,fepgate,6,0.116897,0.200,7,1725.82
97,fepgate,6,0.121718,0.200,7,424.78
98,fepgate,6,0.112063,0.200,7,1725.88
99,fepgate,6,0.114391,0.200,7,424.07
100,fepgate,6,0.115992,0.200,7,1725.12
101,fepgate,6,0.116030,0.200,7,423.90
102,fepgate,6,0.120262,0.400,7,1724.63
103,fepgate,6,0.117024,0.200,7,424.26
104,fepgate,6,0.116764,0.200,7,1722.59
105,fepgate,6,0.119331,0.200,7,423.81
106,fepgate,6,0.117386,0.200,7,1730.30
107,fepgate,6,0.118484,0.400,7,424.54
