ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.224447,0.000,7,3848.88
1,fepgate,6,0.190337,0.200,7,2362.40
2,fepgate,6,0.193450,0.200,7,2698.85
3,fepgate,6,0.241952,0.000,7,2385.52
4,fepgate,6,0.190478,0.200,7,2233.53
5,fepgate,6,0.198162,0.200,7,2235.20
6,fepgate,6,0.189508,0.000,7,2230.57
7,fepgate,6,0.206180,0.200,7,2235.12
8,fepgate,6,0.188317,0.200,7,2278.51
9,fepgate,6,0.184734,0.200,7,2279.48
10,fepgate,6,0.184981,0.000,7,2244.65
11,fepgate,6,0.178347,0.200,7,2242.86
12,fepgate,6,0.192927,0.200,7,2239.76
13,fepgate,6,0.184785,0.200,7,2251.54
14,fepgate,6,0.180062,0.200,2,2230.25
15,fepgate,6,0.188112,0.200,7,2244.72
16,fepgate,6,0.205928,0.000,7,2228.77
17,fepgate,6,0.187396,0.200,7,2242.16
18,fepgate,6,0.203623,0.200,7,2225.67
19,fepgate,6,0.192103,0.200,7,2232.72
