ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.158869,0.200,7,1910.83
1,off,6,0.126502,0.200,7,1727.17
2,off,6,0.140841,0.000,7,407.66
3,off,6,0.142345,0.200,7,1728.83
4,off,6,0.133245,0.400,7,409.97
5,off,6,0.125137,0.400,7,1729.13
6,off,6,0.130178,0.400,7,407.64
7,off,6,0.129245,0.200,7,1728.97
8,off,6,0.131576,0.200,7,411.22
9,off,6,0.143501,0.200,7,1728.79
10,off,6,0.147398,0.400,7,407.52
11,off,6,0.140694,0.200,7,1725.94
12,off,6,0.146897,0.200,7,409.24
13,off,6,0.136694,0.200,7,1726.60
14,off,6,0.134224,0.400,7,425.02
15,off,6,0.142045,0.200,7,1724.95
16,off,6,0.146303,0.200,7,408.22
17,off,6,0.138260,0.200,7,1726.37
18,off,6,0.133808,0.200,7,406.06
19,off,6,0.149222,0.200,7,1723.25
20,off,6,0.136503,0.400,7,408.48
21,off,6,0.154418,0.200,7,1725.58
22,off,6,0.131079,0.200,7,407.03
23,off,6,0.150238,0.200,7,1723.24
24,off,6,0.149481,0.200,7,407.28
25,off,6,0.127947,0.400,7,1723.53
26,off,6,0.126899,0.200,7,405.03
27,off,6,0.124765,0.400,7,1728.98
28,off,6,0.126208,0.400,7,408.27
29,off,6,0.142252,0.200,7,1725.28
30,off,6,0.124204,0.400,7,408.92
31,off,6,0.146984,0.400,7,1725.24
32,off,6,0.133955,0.200,7,408.27
33,off,6,0.159358,0.200,7,1731.25
34,off,6,0.142326,0.400,7,405.71
35,off,6,0.166670,0.200,7,1727.07
36,off,6,0.118829,0.200,7,412.33
37,off,6,0.143163,0.200,7,1728.23
38,off,6,0.129347,0.200,7,405.99
39,off,6,0.143219,0.200,7,1724.50
40,off,6,0.145729,0.200,7,407.59
41,off,6,0.147112,0.200,7,1725.62
42,off,6,0.147847,0.200,7,405.71
43,off,6,0.139603,0.200,7,1726.43
44,off,6,0.149618,0.200,7,407.84
45,off,6,0.158318,0.400,7,1718.38
46,off,6,0.166484,0.200,7,411.28
47,off,6,0.133535,0.400,7,1720.52
48,off,6,0.147923,0.200,7,408.77
49,off,6,0.142987,0.400,7,1718.49
50,off,6,0.135534,0.200,7,409.50
51,off,6,0.147595,0.400,7,1744.76
52,off,6,0.130660,0.200,7,407.54
53,off,6,0.137231,0.200,7,1721.51
54,off,6,0.129165,0.200,2,411.15
55,off,6,0.138717,0.400,7,1732.58
56,off,6,0.156186,0.400,7,414.29
57,off,6,0.130821,0.200,7,1736.69
58,off,6,0.147773,0.400,7,414.89
59,off,6,0.136896,0.200,7,1735.64
60,off,6,0.148951,0.200,7,416.98
61,off,6,0.134568,0.200,7,1752.73
62,off,6,0.125080,0.200,7,406.81
63,off,6,0.138959,0.200,7,1732.60
64,off,6,0.151250,0.000,7,408.55
65,off,6,0.152582,0.400,7,1726.44
66,off,6,0.141900,0.200,7,405.90
67,off,6,0.146032,0.200,7,1726.74
68,off,6,0.149173,0.200,7,409.79
69,off,6,0.135713,0.200,7,1737.43
70,off,6,0.140529,0.400,7,404.81
71,off,6,0.140369,0.200,7,1726.31
72,off,6,0.149908,0.200,7,407.12
73,off,6,0.137445,0.400,7,1726.83
74,off,6,0.136503,0.200,7,406.47
75,off,6,0.126234,0.200,7,1725.77
76,off,6,0.148209,0.200,7,406.29
77,off,6,0.142017,0.200,7,1721.31
78,off,6,0.117292,0.200,7,405.54
79,off,6,0.134664,0.400,7,1725.53
80,off,6,0.127272,0.400,7,406.46
81,off,6,0.132493,0.200,7,1725.26
82,off,6,0.153458,0.200,7,405.91
83,off,6,0.129914,0.200,7,1727.87
84,off,6,0.134783,0.200,7,406.00
85,off,6,0.137594,0.200,7,1726.26
86,off,6,0.136945,0.200,7,404.51
87,off,6,0.147516,0.200,7,1724.19
88,off,6,0.151369,0.200,7,406.24
89,off,6,0.168647,0.200,7,1731.10
90,off,6,0.143048,0.200,7,405.97
91,off,6,0.140531,0.200,7,1728.52
92,off,6,0.124618,0.200,7,408.27
93,off,6,0.138386,0.200,7,1725.55
94,off,6,0.125427,0.200,7,405.73
95,off,6,0.126970,0.400,7,1725.70
96,off,6,0.143608,0.200,7,405.80
97,off,6,0.142435,0.200,7,1727.92
98,off,6,0.133039,0.200,7,405.18
99,off,6,0.130838,0.400,7,1725.98
100,off,6,0.137866,0.200,7,404.98
101,off,6,0.153805,0.200,7,1726.76
102,off,6,0.135256,0.200,7,407.61
103,off,6,0.165582,0.000,7,1724.51
104,off,6,0.122872,0.400,7,405.70
105,off,6,0.141457,0.000,7,1724.16
106,off,6,0.136217,0.200,7,404.70
107,off,6,0.131249,0.000,7,1734.55
108,off,6,0.138290,0.400,7,405.41
109,off,6,0.125695,0.200,7,1724.12
110,off,6,0.124764,0.400,7,404.08
111,off,6,0.139262,0.200,7,1727.29
112,off,6,0.146594,0.200,7,405.30
113,off,6,0.146542,0.200,7,1724.46
114,off,6,0.144066,0.200,7,403.59
115,off,6,0.136593,0.200,7,1721.69
116,off,6,0.143736,0.200,7,411.53
117,off,6,0.131677,0.200,7,1717.08
118,off,6,0.131600,0.400,7,404.24
119,off,6,0.152697,0.400,7,1716.66
120,off,6,0.145366,0.000,7,409.56
121,off,6,0.155125,0.200,7,1720.10
122,off,6,0.122401,0.200,7,405.48
123,off,6,0.170769,0.200,7,1718.55
124,off,6,0.128195,0.400,7,409.42
125,off,6,0.128172,0.200,7,1721.81
126,off,6,0.138239,0.200,7,424.90
127,off,6,0.169501,0.000,7,1725.40
128,off,6,0.155305,0.200,7,403.97
129,off,6,0.127871,0.400,7,1726.26
130,off,6,0.127087,0.000,7,406.88
131,off,6,0.140078,0.200,7,1726.30
132,off,6,0.131384,0.200,7,404.10
133,off,6,0.144848,0.200,7,1722.61
134,off,6,0.134383,0.400,7,407.07
135,off,6,0.137770,0.200,7,1724.56
136,off,6,0.193342,0.200,7,403.68
137,off,6,0.117051,0.400,7,1725.39
138,off,6,0.135829,0.200,7,408.28
139,off,6,0.144601,0.200,7,1726.03
140,off,6,0.174056,0.200,7,403.17
141,off,6,0.146040,0.200,7,1724.72
142,off,6,0.135450,0.200,7,406.27
143,off,6,0.152888,0.200,7,1723.83
144,off,6,0.148823,0.200,7,405.94
145,off,6,0.135636,0.200,7,1731.04
146,off,6,0.153187,0.200,7,406.08
147,off,6,0.140662,0.200,7,1728.13
148,off,6,0.156401,0.000,7,403.75
149,off,6,0.135087,0.200,7,1721.21
150,off,6,0.133237,0.200,7,404.96
151,off,6,0.157084,0.200,7,1720.37
152,off,6,0.144717,0.200,7,408.04
153,off,6,0.151305,0.000,7,1721.62
154,off,6,0.124650,0.400,7,405.24
155,off,6,0.138271,0.400,7,1717.98
156,off,6,0.144464,0.000,7,407.21
157,off,6,0.132755,0.200,7,1719.96
158,off,6,0.148384,0.200,7,406.70
159,off,6,0.132255,0.400,7,1716.39
160,off,6,0.136583,0.200,7,405.70
161,off,6,0.134681,0.200,7,1716.50
162,off,6,0.135463,0.200,7,406.48
163,off,6,0.135576,0.400,7,1724.05
164,off,6,0.158092,0.000,7,409.15
165,off,6,0.115993,0.400,7,1724.26
166,off,6,0.142506,0.200,7,405.42
167,off,6,0.152084,0.200,7,1725.22
168,off,6,0.122760,0.400,7,405.17
169,off,6,0.131563,0.200,7,1721.43
170,off,6,0.125441,0.400,7,405.16
171,off,6,0.132144,0.200,7,1726.03
172,off,6,0.141558,0.200,7,406.02
173,off,6,0.133103,0.400,7,1720.63
174,off,6,0.157827,0.400,7,407.53
175,off,6,0.140495,0.200,7,1718.04
176,off,6,0.131535,0.200,7,406.39
177,off,6,0.133308,0.200,7,1717.97
178,off,6,0.140171,0.200,7,408.41
179,off,6,0.125084,0.400,7,1718.26
180,off,6,0.132476,0.400,7,407.54
181,off,6,0.147516,0.200,7,1722.08
182,off,6,0.136309,0.200,7,409.37
183,off,6,0.167713,0.200,7,1726.29
184,off,6,0.148254,0.200,7,406.41
185,off,6,0.143369,0.400,7,1720.86
186,off,6,0.140579,0.200,7,411.86
187,off,6,0.148118,0.000,7,1722.84
