ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.116527,0.200,7,1739.57
1,fepgate,6,0.115133,0.200,7,435.69
2,fepgate,6,0.116385,0.400,7,1733.50
3,fepgate,6,0.117608,0.200,7,414.02
4,fepgate,6,0.118446,0.400,7,1740.16
5,fepgate,6,0.119495,0.200,7,417.51
6,fepgate,6,0.113782,0.400,7,1738.66
7,fepgate,6,0.120912,0.400,7,416.52
8,fepgate,6,0.120140,0.200,7,1732.86
9,fepgate,6,0.116400,0.200,7,416.72
10,fepgate,6,0.120245,0.000,7,1733.66
11,fepgate,6,0.118751,0.400,7,413.17
12,fepgate,6,0.116340,0.200,7,1731.36
13,fepgate,6,0.116458,0.000,7,417.07
14,fepgate,6,0.115704,0.200,7,1730.39
15,fepgate,6,0.114526,0.200,7,413.05
16,fepgate,6,0.116782,0.400,7,1731.70
17,fepgate,6,0.115935,0.400,7,417.31
18,fepgate,6,0.120848,0.200,7,1732.32
19,fepgate,6,0.112542,0.400,7,413.37
20,fepgate,6,0.118131,0.400,7,1736.65
21,fepgate,6,0.118070,0.200,7,417.15
22,fepgate,6,0.119838,0.200,7,1740.79
23,fepgate,6,0.113063,0.200,7,418.21
24,fepgate,6,0.120193,0.200,7,1728.70
25,fepgate,6,0.115203,0.200,7,417.66
26,fepgate,6,0.117383,0.400,7,1731.25
27,fepgate,6,0.120254,0.400,7,418.44
28,fepgate,6,0.119483,0.200,7,1732.22
29,fepgate,6,0.118250,0.200,7,418.45
30,fepgate,6,0.115539,0.200,7,1733.31
31,fepgate,6,0.117005,0.200,7,418.81
32,fepgate,6,0.111687,0.400,7,1733.19
33,fepgate,6,0.114357,0.200,7,418.41
34,fepgate,6,0.114482,0.400,7,1736.66
35,fepgate,6,0.111214,0.200,7,424.12
36,fepgate,6,0.117538,0.200,7,1730.09
37,fepgate,6,0.121220,0.000,7,418.50
38,fepgate,6,0.116521,0.200,7,1731.29
39,fepgate,6,0.120730,0.400,7,421.95
40,fepgate,6,0.119650,0.200,7,1731.73
41,fepgate,6,0.116751,0.200,7,436.01
42,fepgate,6,0.120527,0.400,7,1730.23
43,fepgate,6,0.120526,0.200,7,419.85
44,fepgate,6,0.110796,0.200,7,1732.62
45,fepgate,6,0.113438,0.200,7,423.48
46,fepgate,6,0.119369,0.400,7,1741.19
47,fepgate,6,0.117529,0.200,7,419.81
48,fepgate,6,0.118668,0.200,7,1729.71
49,fepgate,6,0.118338,0.400,7,416.10
50,fepgate,6,0.113127,0.400,7,1729.85
51,fepgate,6,0.118965,0.200,7,419.70
52,fepgate,6,0.120615,0.200,7,1738.59
53,fepgate,6,0.115864,0.000,7,422.42
54,fepgate,6,0.119624,0.400,7,1752.90
55,fepgate,6,0.115059,0.200,7,422.55
56,fepgate,6,0.115734,0.400,7,1756.06
57,fepgate,6,0.117024,0.200,7,424.32
58,fepgate,6,0.117065,0.400,7,1753.66
59,fepgate,6,0.120860,0.200,7,424.00
60,fepgate,6,0.120105,0.200,7,1744.83
61,fepgate,6,0.119617,0.600,7,417.93
62,fepgate,6,0.121023,0.200,7,1737.52
63,fepgate,6,0.119512,0.200,7,414.21
64,fepgate,6,0.114471,0.200,7,1736.36
65,fepgate,6,0.115873,0.400,7,418.97
66,fepgate,6,0.119523,0.200,7,1738.13
67,fepgate,6,0.117183,0.200,7,414.17
68,fepgate,6,0.119118,0.200,7,1737.47
69,fepgate,6,0.117399,0.200,7,418.67
70,fepgate,6,0.120519,0.200,7,1735.88
71,fepgate,6,0.113674,0.200,7,412.96
72,fepgate,6,0.115143,0.200,7,1735.67
73,fepgate,6,0.116198,0.200,7,417.66
74,fepgate,6,0.120256,0.400,7,1735.98
75,fepgate,6,0.117341,0.200,7,415.51
76,fepgate,6,0.109997,0.400,7,1735.50
77,fepgate,6,0.114542,0.200,7,418.07
78,fepgate,6,0.119244,0.200,7,1741.39
79,fepgate,6,0.114701,0.200,7,417.32
80,fepgate,6,0.115377,0.200,7,1732.94
81,fepgate,6,0.119027,0.200,7,413.35
82,fepgate,6,0.110987,0.200,7,1733.04
83,fepgate,6,0.113452,0.400,7,417.59
84,fepgate,6,0.116835,0.400,7,1732.60
85,fepgate,6,0.118514,0.400,7,412.70
86,fepgate,6,0.112338,0.400,7,1730.61
87,fepgate,6,0.119640,0.200,7,417.51
88,fepgate,6,0.115621,0.200,7,1732.43
89,fepgate,6,0.118746,0.200,7,412.64
90,fepgate,6,0.109415,0.400,7,1737.33
91,fepgate,6,0.110081,0.200,7,417.86
92,fepgate,6,0.115480,0.400,7,1734.57
93,fepgate,6,0.116752,0.400,7,413.66
94,fepgate,6,0.119695,0.200,7,1737.95
95,fepgate,6,0.120644,0.400,7,418.30
96,fepgate,6,0.117002,0.200,7,1736.09
97,fepgate,6,0.112960,0.400,7,433.50
