ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.191901,0.000,7,1338.15
1,off,6,0.189433,0.200,7,1162.51
2,off,6,0.194746,0.200,7,296.36
3,off,6,0.192334,0.000,7,1144.99
4,off,6,0.202512,0.000,7,293.67
5,off,6,0.184656,0.200,7,1164.86
6,off,6,0.199143,0.000,7,317.55
7,off,6,0.192246,0.200,7,1184.52
8,off,6,0.192439,0.200,7,310.07
9,off,6,0.194079,0.200,7,1263.74
10,off,6,0.199807,0.200,7,327.18
11,off,6,0.194163,0.200,7,1239.44
12,off,6,0.195192,0.200,7,331.29
13,off,6,0.189524,0.000,7,1204.61
14,off,6,0.193288,0.200,7,334.30
15,off,6,0.204418,0.000,7,1201.99
16,off,6,0.200814,0.200,7,317.72
17,off,6,0.184577,0.000,7,1244.71
18,off,6,0.195706,0.200,7,296.87
19,off,6,0.197765,0.200,7,1148.74
20,off,6,0.199759,0.000,7,295.36
21,off,6,0.179922,0.200,7,1140.74
22,off,6,0.180584,0.200,7,297.25
23,off,6,0.193282,0.200,7,1143.95
24,off,6,0.193321,0.200,7,293.70
25,off,6,0.199469,0.200,7,1142.13
26,off,6,0.187298,0.200,7,294.33
27,off,6,0.185346,0.200,7,1142.00
28,off,6,0.199143,0.200,7,299.40
29,off,6,0.205596,0.000,7,1160.02
30,off,6,0.194612,0.200,7,300.07
31,off,6,0.189603,0.200,7,1149.38
32,off,6,0.194378,0.000,7,296.90
33,off,6,0.206445,0.200,7,1176.23
34,off,6,0.194355,0.200,7,306.53
35,off,6,0.189936,0.200,7,1164.55
36,off,6,0.187352,0.200,7,298.68
37,off,6,0.181935,0.200,7,1144.47
38,off,6,0.195297,0.200,7,291.54
39,off,6,0.202744,0.200,7,1133.53
40,off,6,0.193662,0.200,7,294.43
41,off,6,0.197451,0.200,7,1132.25
42,off,6,0.204287,0.000,7,295.94
43,off,6,0.211224,0.200,7,1132.33
44,off,6,0.214458,0.000,7,290.60
45,off,6,0.210826,0.200,7,1130.95
46,off,6,0.184614,0.200,7,296.88
47,off,6,0.194946,0.200,7,1129.19
48,off,6,0.174441,0.000,7,294.80
49,off,6,0.200544,0.200,7,1140.66
50,off,6,0.197641,0.200,7,295.15
51,off,6,0.200239,0.000,7,1210.57
52,off,6,0.196788,0.000,7,302.03
53,off,6,0.208933,0.200,7,1153.43
54,off,6,0.203204,0.000,7,295.33
55,off,6,0.190268,0.000,7,1146.55
56,off,6,0.189867,0.200,7,304.82
57,off,6,0.186680,0.200,7,1142.19
58,off,6,0.187821,0.000,7,300.41
59,off,6,0.206644,0.200,7,1138.28
60,off,6,0.188138,0.200,7,303.08
61,off,6,0.191001,0.200,7,1139.43
62,off,6,0.192651,0.000,7,294.26
63,off,6,0.192726,0.200,7,1127.13
64,off,6,0.193817,0.200,7,294.72
65,off,6,0.207519,0.000,7,1129.78
66,off,6,0.192938,0.000,7,292.32
67,off,6,0.183125,0.200,7,1147.00
68,off,6,0.196116,0.200,7,298.76
69,off,6,0.202100,0.200,7,1142.77
70,off,6,0.196925,0.200,7,289.63
71,off,6,0.201009,0.000,7,1118.12
72,off,6,0.192801,0.000,7,289.27
73,off,6,0.180414,0.200,7,1119.26
74,off,6,0.194120,0.000,7,289.53
75,off,6,0.194329,0.200,7,1115.94
76,off,6,0.180656,0.200,7,287.90
77,off,6,0.183157,0.200,7,1119.31
78,off,6,0.191386,0.200,7,286.80
79,off,6,0.198552,0.000,7,1177.16
80,off,6,0.185028,0.200,7,297.39
81,off,6,0.184797,0.200,7,1130.40
82,off,6,0.177124,0.200,7,294.52
83,off,6,0.192804,0.200,7,1233.15
84,off,6,0.199139,0.200,7,328.89
85,off,6,0.189144,0.200,7,1217.58
86,off,6,0.181121,0.000,7,330.32
87,off,6,0.207809,0.000,7,1207.42
88,off,6,0.185323,0.200,7,308.96
89,off,6,0.194777,0.000,7,1138.64
90,off,6,0.203343,0.200,7,326.05
91,off,6,0.191341,0.000,7,1171.74
92,off,6,0.201331,0.000,7,302.81
93,off,6,0.198733,0.000,7,1178.73
94,off,6,0.180049,0.200,7,301.90
95,off,6,0.192671,0.200,7,1170.42
96,off,6,0.199369,0.000,7,294.75
97,off,6,0.199212,0.200,7,1208.81
98,off,6,0.185443,0.200,7,311.51
99,off,6,0.192558,0.200,7,1170.39
