ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.141255,0.200,7,1908.66
1,off,6,0.137767,0.000,7,1727.92
2,off,6,0.115332,0.400,7,406.24
3,off,6,0.133417,0.200,7,1736.00
4,off,6,0.137622,0.200,7,405.71
5,off,6,0.126240,0.400,7,1726.85
6,off,6,0.147506,0.200,7,405.79
7,off,6,0.135962,0.200,7,1730.03
8,off,6,0.127454,0.200,7,407.84
9,off,6,0.158034,0.200,7,1729.24
10,off,6,0.171316,0.000,7,405.36
11,off,6,0.128130,0.400,7,1728.02
12,off,6,0.142208,0.200,7,406.68
13,off,6,0.164401,0.200,7,1729.18
14,off,6,0.125697,0.200,7,405.96
15,off,6,0.137343,0.200,7,1727.97
16,off,6,0.124931,0.200,7,406.75
17,off,6,0.133841,0.200,7,1731.05
18,off,6,0.142830,0.200,7,405.21
19,off,6,0.153663,0.200,7,1727.78
20,off,6,0.126837,0.200,7,406.06
21,off,6,0.141764,0.200,7,1721.52
22,off,6,0.136551,0.200,7,426.08
23,off,6,0.147510,0.400,7,1733.17
24,off,6,0.144526,0.000,7,445.66
25,off,6,0.140675,0.200,7,1740.15
26,off,6,0.145449,0.400,7,407.15
27,off,6,0.141227,0.200,7,1732.12
28,off,6,0.142639,0.000,7,406.66
29,off,6,0.148763,0.200,7,1730.65
30,off,6,0.150523,0.200,7,404.64
31,off,6,0.140850,0.200,7,1733.03
32,off,6,0.140061,0.200,7,405.40
33,off,6,0.131191,0.400,7,1728.20
34,off,6,0.131678,0.200,7,402.80
35,off,6,0.111172,0.400,7,1731.89
36,off,6,0.163131,0.200,7,405.33
37,off,6,0.123791,0.200,7,1730.18
38,off,6,0.122969,0.200,7,403.29
39,off,6,0.140161,0.200,7,1730.14
40,off,6,0.147843,0.200,7,405.36
41,off,6,0.142740,0.400,7,1736.62
42,off,6,0.154756,0.200,7,404.29
43,off,6,0.154073,0.200,7,1727.34
44,off,6,0.131737,0.200,7,406.10
45,off,6,0.141970,0.200,7,1732.00
46,off,6,0.145717,0.200,7,403.47
47,off,6,0.139608,0.200,7,1729.69
48,off,6,0.127656,0.400,7,405.39
49,off,6,0.132337,0.200,7,1729.56
50,off,6,0.120087,0.200,7,406.58
51,off,6,0.167921,0.200,7,1730.26
52,off,6,0.133836,0.200,7,406.25
53,off,6,0.135488,0.200,7,1731.18
54,off,6,0.137197,0.200,7,406.91
55,off,6,0.139721,0.200,7,1733.95
56,off,6,0.149658,0.000,7,406.69
57,off,6,0.137666,0.200,7,1731.51
58,off,6,0.127344,0.400,7,403.40
59,off,6,0.131269,0.000,7,1737.78
60,off,6,0.138924,0.200,7,407.33
61,off,6,0.129086,0.400,7,1730.93
62,off,6,0.144962,0.200,7,404.33
63,off,6,0.132330,0.200,7,1732.91
64,off,6,0.153622,0.200,7,406.65
65,off,6,0.124791,0.200,7,1732.10
66,off,6,0.149399,0.200,7,405.75
67,off,6,0.138240,0.200,7,1728.37
68,off,6,0.138656,0.200,7,404.64
69,off,6,0.158300,0.200,7,1720.32
70,off,6,0.141109,0.200,7,404.02
71,off,6,0.139607,0.200,7,1721.97
72,off,6,0.128090,0.200,7,404.15
73,off,6,0.147221,0.200,7,1720.94
74,off,6,0.136295,0.200,7,404.62
75,off,6,0.146069,0.200,7,1721.42
76,off,6,0.129192,0.200,7,407.48
77,off,6,0.137617,0.200,7,1727.03
78,off,6,0.144617,0.200,7,407.96
79,off,6,0.131323,0.200,7,1737.84
80,off,6,0.148637,0.200,7,406.19
81,off,6,0.192704,0.000,7,1729.50
82,off,6,0.123565,0.200,7,407.71
83,off,6,0.140925,0.200,7,1730.97
84,off,6,0.125359,0.400,7,405.86
85,off,6,0.151248,0.000,7,1729.10
86,off,6,0.126582,0.200,7,406.68
87,off,6,0.147036,0.200,7,1730.18
88,off,6,0.137727,0.200,7,406.37
89,off,6,0.143315,0.400,7,1730.26
90,off,6,0.133711,0.200,7,405.63
91,off,6,0.130023,0.200,7,1732.77
92,off,6,0.128341,0.400,7,406.58
93,off,6,0.133962,0.200,7,1733.72
94,off,6,0.144563,0.200,7,405.58
95,off,6,0.155985,0.200,7,1731.96
96,off,6,0.153797,0.200,7,406.90
97,off,6,0.128394,0.400,7,1752.94
98,off,6,0.132684,0.200,7,405.61
99,off,6,0.136172,0.200,7,1723.31
100,off,6,0.132396,0.200,7,404.77
101,off,6,0.122448,0.200,7,1730.76
102,off,6,0.145941,0.200,7,406.12
103,off,6,0.153507,0.200,7,1736.13
104,off,6,0.143548,0.200,7,411.76
105,off,6,0.120039,0.400,7,1737.17
106,off,6,0.142664,0.200,7,410.04
107,off,6,0.161481,0.200,7,1746.92
108,off,6,0.144613,0.200,7,409.66
109,off,6,0.144822,0.000,7,1721.25
110,off,6,0.161498,0.200,7,407.86
111,off,6,0.146556,0.200,7,1720.72
112,off,6,0.111988,0.400,7,404.21
113,off,6,0.149203,0.200,7,1718.05
114,off,6,0.141716,0.200,7,423.78
115,off,6,0.141403,0.200,7,1731.78
116,off,6,0.136907,0.200,7,405.63
117,off,6,0.150058,0.200,7,1729.83
118,off,6,0.116496,0.400,7,405.51
119,off,6,0.128883,0.200,7,1731.05
120,off,6,0.135596,0.400,7,406.35
121,off,6,0.148810,0.400,7,1730.48
122,off,6,0.133981,0.200,7,403.99
123,off,6,0.149757,0.400,7,1733.86
124,off,6,0.143317,0.000,7,406.10
125,off,6,0.141391,0.000,7,1732.51
126,off,6,0.138096,0.200,7,404.13
127,off,6,0.144504,0.000,7,1731.29
128,off,6,0.138138,0.200,7,404.76
129,off,6,0.136829,0.200,7,1730.74
130,off,6,0.153019,0.200,7,403.79
131,off,6,0.142009,0.400,7,1729.23
132,off,6,0.122934,0.200,7,406.02
133,off,6,0.130924,0.200,7,1728.30
134,off,6,0.128639,0.400,7,423.42
135,off,6,0.124879,0.200,7,1731.51
