ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.197625,0.200,7,3853.86
1,fepgate,6,0.187887,0.000,7,2227.97
2,fepgate,6,0.193282,0.000,7,2261.13
3,fepgate,6,0.191031,0.000,7,2331.21
4,fepgate,6,0.185813,0.200,7,2283.68
5,fepgate,6,0.192934,0.200,7,2316.73
6,fepgate,6,0.205843,0.200,7,2230.16
7,fepgate,6,0.193050,0.200,7,2295.95
8,fepgate,6,0.190438,0.000,7,2236.71
9,fepgate,6,0.198754,0.200,7,2295.32
10,fepgate,6,0.192981,0.200,7,2231.99
11,fepgate,6,0.191582,0.000,7,2292.93
12,fepgate,6,0.201630,0.000,7,2232.92
13,fepgate,6,0.186394,0.000,7,2292.76
14,fepgate,6,0.187343,0.200,2,2233.51
15,fepgate,6,0.189442,0.200,7,2292.14
16,fepgate,6,0.196678,0.200,7,2242.26
17,fepgate,6,0.180443,0.200,2,2292.41
18,fepgate,6,0.186410,0.200,7,2236.21
19,fepgate,6,0.206373,0.200,7,2300.16
