ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.133802,0.200,7,1956.77
1,off,6,0.137445,0.000,7,1785.67
2,off,6,0.136801,0.200,7,443.19
3,off,6,0.139045,0.200,7,1744.61
4,off,6,0.154034,0.200,7,412.08
5,off,6,0.132172,0.200,7,1723.83
6,off,6,0.124449,0.200,7,413.19
7,off,6,0.136497,0.200,7,1728.55
8,off,6,0.138763,0.200,7,416.41
9,off,6,0.136374,0.200,7,1894.20
10,off,6,0.127914,0.200,7,491.32
11,off,6,0.123806,0.200,7,1775.46
12,off,6,0.150700,0.200,7,435.99
13,off,6,0.137240,0.200,7,1766.73
14,off,6,0.137670,0.200,7,422.64
15,off,6,0.145512,0.000,7,1782.44
16,off,6,0.146890,0.200,7,423.43
17,off,6,0.150544,0.200,7,1788.05
18,off,6,0.134995,0.200,7,421.12
19,off,6,0.135254,0.000,7,1752.29
20,off,6,0.159402,0.200,7,450.68
21,off,6,0.148295,0.200,7,1814.36
22,off,6,0.139862,0.200,7,419.26
23,off,6,0.147030,0.200,7,1762.92
24,off,6,0.154532,0.200,7,434.33
25,off,6,0.131011,0.200,7,1813.93
26,off,6,0.116882,0.400,7,426.88
27,off,6,0.156228,0.200,7,1787.58
28,off,6,0.138762,0.400,7,406.54
29,off,6,0.149332,0.200,7,1759.73
30,off,6,0.149368,0.000,7,460.27
31,off,6,0.146452,0.200,7,1766.75
32,off,6,0.133812,0.200,7,431.04
33,off,6,0.144098,0.200,7,1736.61
34,off,6,0.165022,0.200,7,414.57
35,off,6,0.137015,0.400,7,1707.05
36,off,6,0.130617,0.400,7,411.83
37,off,6,0.146694,0.200,7,1726.05
38,off,6,0.143689,0.400,7,413.45
39,off,6,0.155393,0.400,7,1723.97
40,off,6,0.152783,0.200,7,436.21
41,off,6,0.123455,0.200,7,1767.97
42,off,6,0.137393,0.400,7,438.72
43,off,6,0.127720,0.400,7,1780.86
44,off,6,0.129585,0.200,7,437.53
45,off,6,0.133289,0.200,7,1787.20
46,off,6,0.166423,0.200,7,441.31
47,off,6,0.147161,0.200,7,1776.91
48,off,6,0.142183,0.200,7,449.64
49,off,6,0.168570,0.200,7,1799.01
50,off,6,0.165152,0.200,7,442.26
51,off,6,0.136716,0.200,7,1788.85
52,off,6,0.140960,0.200,7,419.27
53,off,6,0.136400,0.200,7,1734.88
54,off,6,0.128210,0.200,7,419.88
55,off,6,0.157242,0.200,7,1735.90
56,off,6,0.132601,0.000,7,418.79
57,off,6,0.172267,0.200,7,1733.37
58,off,6,0.157481,0.200,7,418.46
59,off,6,0.149618,0.200,7,1727.56
60,off,6,0.126618,0.200,7,430.01
61,off,6,0.128589,0.200,2,1741.23
62,off,6,0.142737,0.200,7,414.64
63,off,6,0.137953,0.200,7,1709.56
64,off,6,0.129377,0.200,7,411.51
65,off,6,0.157014,0.200,7,1705.54
66,off,6,0.145015,0.200,7,415.25
67,off,6,0.134192,0.200,7,1707.64
68,off,6,0.123482,0.200,7,410.86
69,off,6,0.141983,0.200,7,1710.30
70,off,6,0.132529,0.400,7,415.91
71,off,6,0.148674,0.200,7,1705.72
72,off,6,0.139509,0.200,7,412.96
73,off,6,0.149684,0.200,7,1707.76
74,off,6,0.130210,0.200,7,411.14
75,off,6,0.152552,0.200,7,1726.30
76,off,6,0.136918,0.200,7,411.63
77,off,6,0.128281,0.200,7,1719.89
78,off,6,0.124332,0.200,7,409.77
79,off,6,0.122978,0.200,7,1722.99
80,off,6,0.173111,0.200,7,411.36
81,off,6,0.130499,0.200,7,1717.91
82,off,6,0.131496,0.200,7,407.34
83,off,6,0.125852,0.200,7,1700.96
84,off,6,0.147816,0.200,7,410.31
85,off,6,0.131456,0.400,7,1705.24
86,off,6,0.146239,0.200,7,408.65
87,off,6,0.144944,0.200,7,1705.41
88,off,6,0.120440,0.200,7,416.07
89,off,6,0.138638,0.200,7,1707.39
90,off,6,0.156140,0.200,7,409.95
91,off,6,0.137899,0.400,7,1707.27
92,off,6,0.146175,0.200,7,412.37
93,off,6,0.139146,0.200,7,1715.87
94,off,6,0.149514,0.200,7,409.41
95,off,6,0.134243,0.200,7,1720.02
96,off,6,0.129576,0.400,7,411.89
97,off,6,0.151497,0.200,7,1720.76
98,off,6,0.148672,0.200,7,409.97
99,off,6,0.143059,0.200,7,1753.61
100,off,6,0.131051,0.400,7,413.87
101,off,6,0.140149,0.400,7,1720.54
102,off,6,0.123635,0.400,7,410.41
