dx,dy,energy,surprise,ok_bit
-0.150000,-0.150000,1.63016987,0.10752907,0
-0.145000,-0.150000,1.63016653,0.10404325,0
-0.140000,-0.150000,1.63016343,0.10056093,0
-0.135000,-0.150000,1.63016129,0.09708244,0
-0.130000,-0.150000,1.63015950,0.09360822,0
-0.125000,-0.150000,1.63015854,0.09013878,0
-0.120000,-0.150000,1.63015854,0.08667467,0
-0.115000,-0.150000,1.63015866,0.08321658,0
-0.110000,-0.150000,1.63015890,0.07976528,0
-0.105000,-0.150000,1.63015962,0.07632168,0
-0.100000,-0.150000,1.63016140,0.07288690,0
-0.095000,-0.150000,1.63016343,0.06946222,0
-0.090000,-0.150000,1.63016593,0.06604923,0
-0.085000,-0.150000,1.63016820,0.06264982,0
-0.080000,-0.150000,1.13017058,0.05926634,1
-0.075000,-0.150000,1.13017333,0.05590170,1
-0.070000,-0.150000,1.13017690,0.05590170,1
-0.065000,-0.150000,1.13018084,0.05590170,1
-0.060000,-0.150000,1.13018525,0.05590170,1
-0.055000,-0.150000,1.13018990,0.05590170,1
-0.050000,-0.150000,1.13019562,0.05590170,1
-0.045000,-0.150000,1.13020146,0.05590170,1
-0.040000,-0.150000,1.13020790,0.05590170,1
-0.035000,-0.150000,1.13021433,0.05590170,1
-0.030000,-0.150000,1.13022161,0.05590170,1
-0.025000,-0.150000,1.13022864,0.05590170,1
-0.020000,-0.150000,1.13023615,0.05590170,1
-0.015000,-0.150000,1.13024342,0.05590170,1
-0.010000,-0.150000,1.13025105,0.05590170,1
-0.005000,-0.150000,1.13025939,0.05590170,1
0.000000,-0.150000,1.13026774,0.05590170,1
0.005000,-0.150000,1.13027632,0.05590170,1
0.010000,-0.150000,1.13028538,0.05590170,1
0.015000,-0.150000,1.13029528,0.05590170,1
0.020000,-0.150000,1.13030565,0.05590170,1
0.025000,-0.150000,1.13031662,0.05590170,1
0.030000,-0.150000,1.13032818,0.05590170,1
0.035000,-0.150000,1.13034046,0.05590170,1
0.040000,-0.150000,1.13035285,0.05590170,1
0.045000,-0.150000,1.13036549,0.05590170,1
0.050000,-0.150000,1.13037884,0.05590170,1
0.055000,-0.150000,1.13039243,0.05590170,1
0.060000,-0.150000,1.13040590,0.05590170,1
0.065000,-0.150000,1.13041961,0.05590170,1
0.070000,-0.150000,1.13043392,0.05590170,1
0.075000,-0.150000,1.13044870,0.05590170,1
0.080000,-0.150000,1.13046348,0.05488624,1
0.085000,-0.150000,1.13047838,0.05408328,1
0.090000,-0.150000,1.13049376,0.05350234,1
0.095000,-0.150000,1.13050926,0.05315073,1
0.100000,-0.150000,1.13052499,0.05303300,1
0.105000,-0.150000,1.13054073,0.05315072,1
0.110000,-0.150000,1.13055718,0.05350232,1
0.115000,-0.150000,1.13057375,0.05408327,1
0.120000,-0.150000,1.13059056,0.05488625,1
0.125000,-0.150000,1.13060713,0.05590170,1
0.130000,-0.150000,1.13062394,0.05711829,1
0.135000,-0.150000,1.13064134,0.05852351,1
0.140000,-0.150000,1.63065863,0.06010408,0
0.145000,-0.150000,1.63067567,0.06184659,0
0.150000,-0.150000,1.63069260,0.06373774,0
-0.150000,-0.145000,1.63017333,0.11101802,0
-0.145000,-0.145000,1.63016987,0.10752907,0
-0.140000,-0.145000,1.63016653,0.10404327,0
-0.135000,-0.145000,1.63016343,0.10056093,0
-0.130000,-0.145000,1.63016129,0.09708244,0
-0.125000,-0.145000,1.63015950,0.09360824,0
-0.120000,-0.145000,1.63015854,0.09013878,0
-0.115000,-0.145000,1.63015854,0.08667468,0
-0.110000,-0.145000,1.63015866,0.08321659,0
-0.105000,-0.145000,1.63015890,0.07976528,0
-0.100000,-0.145000,1.63015962,0.07632169,0
-0.095000,-0.145000,1.63016140,0.07288690,0
-0.090000,-0.145000,1.63016343,0.06946222,0
-0.085000,-0.145000,1.63016593,0.06604923,0
-0.080000,-0.145000,1.63016820,0.06264982,0
-0.075000,-0.145000,1.13017058,0.05926635,1
-0.070000,-0.145000,1.13017333,0.05590171,1
-0.065000,-0.145000,1.13017690,0.05590170,1
-0.060000,-0.145000,1.13018084,0.05590170,1
-0.055000,-0.145000,1.13018525,0.05590170,1
-0.050000,-0.145000,1.13018990,0.05590170,1
-0.045000,-0.145000,1.13019562,0.05590170,1
-0.040000,-0.145000,1.13020146,0.05590170,1
-0.035000,-0.145000,1.13020790,0.05590170,1
-0.030000,-0.145000,1.13021433,0.05590170,1
-0.025000,-0.145000,1.13022161,0.05590170,1
-0.020000,-0.145000,1.13022864,0.05590170,1
-0.015000,-0.145000,1.13023615,0.05590170,1
-0.010000,-0.145000,1.13024342,0.05590170,1
-0.005000,-0.145000,1.13025105,0.05590170,1
0.000000,-0.145000,1.13025939,0.05590170,1
0.005000,-0.145000,1.13026774,0.05590170,1
0.010000,-0.145000,1.13027632,0.05590170,1
0.015000,-0.145000,1.13028538,0.05590170,1
0.020000,-0.145000,1.13029528,0.05590170,1
0.025000,-0.145000,1.13030565,0.05590170,1
0.030000,-0.145000,1.13031662,0.05590170,1
0.035000,-0.145000,1.13032818,0.05590170,1
0.040000,-0.145000,1.13034046,0.05590170,1
0.045000,-0.145000,1.13035285,0.05590170,1
0.050000,-0.145000,1.13036549,0.05590170,1
0.055000,-0.145000,1.13037884,0.05590170,1
0.060000,-0.145000,1.13039243,0.05590170,1
0.065000,-0.145000,1.13040590,0.05590170,1
0.070000,-0.145000,1.13041961,0.05590169,1
0.075000,-0.145000,1.13043392,0.05488624,1
0.080000,-0.145000,1.13044870,0.05408327,1
0.085000,-0.145000,1.13046348,0.05350233,1
0.090000,-0.145000,1.13047838,0.05315073,1
0.095000,-0.145000,1.13049376,0.05303301,1
0.100000,-0.145000,1.13050926,0.05315074,1
0.105000,-0.145000,1.13052499,0.05350234,1
0.110000,-0.145000,1.13054073,0.05408327,1
0.115000,-0.145000,1.13055718,0.05488624,1
0.120000,-0.145000,1.13057375,0.05590170,1
0.125000,-0.145000,1.13059056,0.05711829,1
0.130000,-0.145000,1.13060713,0.05852349,1
0.135000,-0.145000,1.63062394,0.06010408,0
0.140000,-0.145000,1.63064134,0.06184658,0
0.145000,-0.145000,1.63065863,0.06373774,0
0.150000,-0.145000,1.63067567,0.06576474,0
-0.150000,-0.140000,1.63017738,0.11450984,0
-0.145000,-0.140000,1.63017333,0.11101802,0
-0.140000,-0.140000,1.63016987,0.10752907,0
-0.135000,-0.140000,1.63016653,0.10404327,0
-0.130000,-0.140000,1.63016343,0.10056093,0
-0.125000,-0.140000,1.63016129,0.09708244,0
-0.120000,-0.140000,1.63015950,0.09360822,0
-0.115000,-0.140000,1.63015854,0.09013878,0
-0.110000,-0.140000,1.63015854,0.08667468,0
-0.105000,-0.140000,1.63015866,0.08321658,0
-0.100000,-0.140000,1.63015890,0.07976528,0
-0.095000,-0.140000,1.63015962,0.07632168,0
-0.090000,-0.140000,1.63016140,0.07288690,0
-0.085000,-0.140000,1.63016343,0.06946222,0
-0.080000,-0.140000,1.63016593,0.06604923,0
-0.075000,-0.140000,1.63016820,0.06264982,0
-0.070000,-0.140000,1.13017058,0.05926635,1
-0.065000,-0.140000,1.13017333,0.05590170,1
-0.060000,-0.140000,1.13017690,0.05590170,1
-0.055000,-0.140000,1.13018084,0.05590170,1
-0.050000,-0.140000,1.13018525,0.05590170,1
