ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.194949,0.000,7,4565.10
1,fepgate,6,0.196922,0.200,7,2195.63
2,fepgate,6,0.202209,0.000,7,2360.79
3,fepgate,6,0.192218,0.200,7,2458.93
4,fepgate,6,0.182112,0.200,7,2442.49
5,fepgate,6,0.187292,0.200,7,2392.50
6,fepgate,6,0.177736,0.200,7,2344.24
7,fepgate,6,0.184639,0.200,7,2411.82
8,fepgate,6,0.184133,0.200,7,2272.64
9,fepgate,6,0.185664,0.200,7,2253.44
10,fepgate,6,0.172714,0.200,7,2260.75
11,fepgate,6,0.206347,0.200,7,2248.60
12,fepgate,6,0.178639,0.200,7,2281.08
13,fepgate,6,0.189114,0.000,7,2270.02
14,fepgate,6,0.189265,0.200,7,2237.87
15,fepgate,6,0.181916,0.200,7,2220.29
16,fepgate,6,0.184385,0.200,7,2233.37
17,fepgate,6,0.200910,0.200,7,2227.81
18,fepgate,6,0.195437,0.200,7,2233.95
19,fepgate,6,0.210541,0.000,7,2221.49
