ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.140616,0.200,7,1927.29
1,off,6,0.145390,0.200,7,1726.19
2,off,6,0.128711,0.200,7,388.90
3,off,6,0.116930,0.400,7,1733.36
4,off,6,0.126150,0.200,7,394.24
5,off,6,0.158823,0.000,7,1724.57
6,off,6,0.118238,0.200,7,389.39
7,off,6,0.146144,0.400,7,1728.10
8,off,6,0.166833,0.200,7,394.66
9,off,6,0.141346,0.400,7,1725.20
10,off,6,0.126861,0.200,7,388.50
11,off,6,0.154625,0.200,7,1726.07
12,off,6,0.140352,0.200,7,393.34
13,off,6,0.132719,0.200,7,1723.26
14,off,6,0.149780,0.400,7,388.47
15,off,6,0.131621,0.200,7,1724.66
16,off,6,0.131126,0.200,7,396.74
17,off,6,0.183739,0.000,7,1717.84
18,off,6,0.134677,0.200,7,396.05
19,off,6,0.129567,0.200,7,1720.19
20,off,6,0.145018,0.200,7,397.00
21,off,6,0.143998,0.200,7,1729.07
22,off,6,0.146862,0.200,7,396.08
23,off,6,0.145600,0.000,7,1721.72
24,off,6,0.129094,0.400,7,393.52
25,off,6,0.134968,0.200,7,1724.58
26,off,6,0.130828,0.200,7,397.07
27,off,6,0.112342,0.200,2,1722.82
28,off,6,0.140485,0.000,7,393.11
29,off,6,0.139883,0.400,7,1721.87
30,off,6,0.161441,0.200,7,398.87
31,off,6,0.142271,0.200,7,1723.25
32,off,6,0.156545,0.000,7,393.62
33,off,6,0.131845,0.400,7,1723.51
34,off,6,0.130188,0.200,7,395.90
35,off,6,0.142482,0.200,7,1724.66
36,off,6,0.141384,0.200,7,394.67
37,off,6,0.128381,0.400,7,1722.96
38,off,6,0.128122,0.400,7,395.67
39,off,6,0.151209,0.000,7,1721.45
40,off,6,0.140842,0.200,7,392.85
41,off,6,0.125224,0.400,7,1724.84
42,off,6,0.138716,0.200,7,395.94
43,off,6,0.137392,0.400,7,1717.95
44,off,6,0.121613,0.400,7,393.27
45,off,6,0.132235,0.400,7,1722.87
46,off,6,0.131826,0.200,7,395.23
47,off,6,0.120606,0.400,7,1720.20
48,off,6,0.117587,0.200,2,393.35
49,off,6,0.163217,0.000,7,1720.82
50,off,6,0.134011,0.400,7,395.33
51,off,6,0.159518,0.000,7,1720.80
52,off,6,0.129847,0.200,7,392.80
53,off,6,0.146230,0.200,7,1720.92
54,off,6,0.164732,0.000,7,398.56
55,off,6,0.139763,0.200,7,1720.62
56,off,6,0.131255,0.200,7,393.06
57,off,6,0.110383,0.200,2,1719.74
58,off,6,0.130851,0.200,7,397.51
59,off,6,0.141266,0.200,7,1726.37
60,off,6,0.141288,0.200,7,393.56
61,off,6,0.143912,0.200,7,1726.14
62,off,6,0.141846,0.200,7,387.91
63,off,6,0.164701,0.200,7,1727.96
64,off,6,0.139156,0.200,7,393.31
65,off,6,0.158605,0.200,7,1723.70
66,off,6,0.144954,0.200,7,390.49
67,off,6,0.126910,0.200,7,1724.37
68,off,6,0.138903,0.200,7,387.42
69,off,6,0.139701,0.200,7,1720.38
70,off,6,0.145252,0.200,7,390.42
71,off,6,0.135693,0.200,7,1722.91
72,off,6,0.132257,0.200,7,387.21
73,off,6,0.156249,0.000,7,1723.98
74,off,6,0.137963,0.200,7,391.02
75,off,6,0.143236,0.200,7,1724.74
76,off,6,0.132646,0.200,7,387.90
77,off,6,0.127184,0.200,7,1723.97
78,off,6,0.123804,0.400,7,394.32
79,off,6,0.137895,0.200,7,1727.55
80,off,6,0.128420,0.200,7,390.88
81,off,6,0.147783,0.200,7,1722.69
82,off,6,0.138460,0.200,7,388.33
83,off,6,0.148872,0.200,7,1722.72
84,off,6,0.142187,0.200,7,390.24
85,off,6,0.133522,0.200,7,1721.72
86,off,6,0.142723,0.200,7,387.85
87,off,6,0.135979,0.400,7,1724.12
88,off,6,0.142464,0.200,7,389.71
89,off,6,0.140376,0.200,7,1720.21
90,off,6,0.141263,0.200,7,388.40
91,off,6,0.140756,0.400,7,1728.49
92,off,6,0.133513,0.400,3,391.18
93,off,6,0.149910,0.200,7,1726.48
94,off,6,0.141937,0.200,7,388.37
95,off,6,0.132336,0.200,7,1725.07
96,off,6,0.124417,0.400,7,390.84
97,off,6,0.154938,0.200,7,1733.13
98,off,6,0.126266,0.200,7,388.21
99,off,6,0.149107,0.000,7,1729.52
100,off,6,0.146364,0.200,7,389.99
101,off,6,0.141558,0.200,7,1726.57
102,off,6,0.124232,0.400,3,388.53
103,off,6,0.134644,0.200,7,1725.71
104,off,6,0.125635,0.400,7,390.31
105,off,6,0.141112,0.200,7,1726.41
106,off,6,0.139449,0.200,7,388.34
107,off,6,0.144776,0.200,7,1724.11
108,off,6,0.143696,0.400,7,390.19
109,off,6,0.163032,0.000,7,1723.48
110,off,6,0.140331,0.200,7,392.45
111,off,6,0.164561,0.200,7,1737.52
112,off,6,0.131671,0.200,7,397.72
113,off,6,0.122904,0.200,7,1738.24
114,off,6,0.164166,0.200,7,394.37
115,off,6,0.142403,0.000,7,1741.55
116,off,6,0.132478,0.400,7,398.04
117,off,6,0.155179,0.000,7,1738.65
118,off,6,0.133424,0.200,7,395.12
119,off,6,0.136928,0.200,7,1720.33
120,off,6,0.131107,0.400,7,394.64
121,off,6,0.136189,0.200,7,1723.07
122,off,6,0.144373,0.400,7,396.99
123,off,6,0.126292,0.400,7,1722.49
124,off,6,0.154902,0.200,7,395.66
125,off,6,0.133608,0.200,7,1724.21
126,off,6,0.134621,0.200,7,395.90
127,off,6,0.131985,0.400,7,1724.41
128,off,6,0.126131,0.400,7,390.83
129,off,6,0.140588,0.200,7,1720.87
130,off,6,0.132312,0.200,7,395.71
131,off,6,0.144681,0.200,7,1720.56
132,off,6,0.140102,0.200,7,391.32
133,off,6,0.142091,0.200,7,1721.47
134,off,6,0.152991,0.200,7,395.45
135,off,6,0.152190,0.200,7,1727.46
136,off,6,0.171969,0.200,7,389.51
137,off,6,0.139117,0.200,7,1720.52
138,off,6,0.143801,0.400,7,387.61
139,off,6,0.135790,0.000,7,1723.75
140,off,6,0.151886,0.200,7,389.19
141,off,6,0.140615,0.400,7,1723.10
142,off,6,0.138989,0.200,7,387.81
143,off,6,0.137612,0.400,7,1724.02
144,off,6,0.155397,0.400,7,389.24
145,off,6,0.137441,0.400,7,1722.50
146,off,6,0.140065,0.200,7,388.06
147,off,6,0.150687,0.400,7,1722.36
148,off,6,0.162041,0.200,7,390.11
149,off,6,0.164751,0.200,7,1725.57
150,off,6,0.133256,0.200,7,389.68
151,off,6,0.152041,0.200,7,1725.66
152,off,6,0.142262,0.000,7,391.50
153,off,6,0.126236,0.200,7,1726.67
