ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.103936,0.600,7,1125.76
1,fepgate,6,0.112358,0.400,7,1117.62
2,fepgate,6,0.046661,0.800,4,1112.18
3,fepgate,6,0.156857,0.200,7,1113.21
4,fepgate,6,0.155643,0.200,7,1125.93
5,fepgate,6,0.096607,0.600,7,1129.94
6,fepgate,6,0.115114,0.400,7,1120.26
7,fepgate,6,0.126828,0.400,7,1126.04
8,fepgate,6,0.132558,0.200,7,1126.13
9,fepgate,6,0.106194,0.400,7,1128.55
10,fepgate,6,0.068873,0.800,7,1121.57
11,fepgate,6,0.137508,0.200,7,1110.40
12,fepgate,6,0.122370,0.400,7,1114.90
13,fepgate,6,0.102976,0.400,7,1113.46
14,fepgate,6,0.134670,0.200,7,1118.70
15,fepgate,6,0.084793,0.600,7,1123.02
16,fepgate,6,0.083117,0.400,7,1117.26
17,fepgate,6,0.106793,0.600,7,1130.71
18,fepgate,6,0.098550,0.400,7,1121.91
19,fepgate,6,0.121771,0.200,7,1128.77
20,fepgate,6,0.146439,0.200,7,1128.83
21,fepgate,6,0.074093,0.400,7,1129.63
22,fepgate,6,0.129681,0.400,7,1135.71
23,fepgate,6,0.105823,0.600,7,1141.47
24,fepgate,6,0.152795,0.200,7,1127.86
25,fepgate,6,0.100127,0.800,7,1143.81
26,fepgate,6,0.099598,0.400,7,1130.79
27,fepgate,6,0.106287,0.400,7,1129.00
28,fepgate,6,0.143120,0.400,7,1127.64
29,fepgate,6,0.098344,0.600,7,1133.80
30,fepgate,6,0.121695,0.400,7,1128.53
31,fepgate,6,0.064631,0.600,7,1126.04
32,fepgate,6,0.129160,0.200,7,1134.95
33,fepgate,6,0.116920,0.400,7,1127.72
34,fepgate,6,0.097426,0.600,7,1140.40
35,fepgate,6,0.131220,0.200,7,1134.77
36,fepgate,6,0.063103,0.600,7,1132.61
37,fepgate,6,0.111755,0.600,7,1135.19
38,fepgate,6,0.153920,0.000,7,1125.93
39,fepgate,6,0.108253,0.600,7,1134.72
40,fepgate,6,0.085066,0.600,7,1130.91
41,fepgate,6,0.073639,0.800,7,1132.95
42,fepgate,6,0.130781,0.200,7,1122.69
43,fepgate,6,0.062023,0.600,7,1133.87
44,fepgate,6,0.137820,0.400,7,1125.74
45,fepgate,6,0.138163,0.200,7,1137.22
46,fepgate,6,0.148378,0.000,7,1128.49
47,fepgate,6,0.089958,0.200,7,1136.37
48,fepgate,6,0.090615,0.400,7,1133.11
49,fepgate,6,0.084443,0.800,7,1134.74
50,fepgate,6,0.112609,0.200,7,1137.59
51,fepgate,6,0.078467,0.400,7,1130.05
52,fepgate,6,0.098082,0.600,7,1137.53
53,fepgate,6,0.066032,0.800,7,1140.41
54,fepgate,6,0.103007,0.200,7,1129.44
55,fepgate,6,0.032584,0.600,6,1122.89
56,fepgate,6,0.134274,0.400,7,1122.29
57,fepgate,6,0.127646,0.200,7,1124.64
58,fepgate,6,0.080443,0.800,7,1130.20
59,fepgate,6,0.097545,0.400,7,1127.25
60,fepgate,6,0.139686,0.200,7,1129.26
61,fepgate,6,0.087483,0.800,7,1127.45
62,fepgate,6,0.098359,0.600,7,1118.99
63,fepgate,6,0.126431,0.400,7,1120.29
64,fepgate,6,0.147235,0.200,7,1125.83
65,fepgate,6,0.107926,0.600,7,1124.10
66,fepgate,6,0.142173,0.400,7,1119.06
67,fepgate,6,0.166313,0.200,7,1129.42
68,fepgate,6,0.118449,0.200,7,1125.28
69,fepgate,6,0.085728,0.600,7,1118.23
70,fepgate,6,0.081951,0.600,7,1118.94
71,fepgate,6,0.071392,0.600,7,1125.64
72,fepgate,6,0.099656,0.400,7,1132.13
73,fepgate,6,0.132939,0.200,7,1128.94
74,fepgate,6,0.103508,0.400,7,1118.01
75,fepgate,6,0.123755,0.400,7,1123.58
76,fepgate,6,0.122190,0.400,7,1118.88
77,fepgate,6,0.175438,0.200,7,1130.74
78,fepgate,6,0.115550,0.400,7,1125.67
79,fepgate,6,0.101008,0.800,7,1119.94
80,fepgate,6,0.108750,0.400,7,1116.38
81,fepgate,6,0.076092,0.800,7,1123.75
82,fepgate,6,0.102315,0.400,7,1125.87
83,fepgate,6,0.094156,0.800,7,1123.97
84,fepgate,6,0.100422,0.600,7,1127.41
85,fepgate,6,0.115050,0.400,7,1117.52
86,fepgate,6,0.105497,0.400,7,1118.61
87,fepgate,6,0.111659,0.400,7,1123.69
88,fepgate,6,0.117544,0.400,7,1119.76
89,fepgate,6,0.125350,0.200,7,1123.09
90,fepgate,6,0.097699,0.200,7,1120.05
91,fepgate,6,0.138540,0.000,7,1125.29
92,fepgate,6,0.105250,0.200,7,1130.77
93,fepgate,6,0.107168,0.400,7,1117.94
94,fepgate,6,0.154076,0.200,7,1121.81
95,fepgate,6,0.112024,0.600,7,1128.60
96,fepgate,6,0.117620,0.400,7,1130.51
97,fepgate,6,0.081756,0.600,7,1130.96
98,fepgate,6,0.080222,0.600,7,1126.61
99,fepgate,6,0.089943,0.600,7,1115.44
