ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.145212,0.200,7,1921.65
1,off,6,0.117741,0.200,7,1695.92
2,off,6,0.134192,0.200,7,405.42
3,off,6,0.136169,0.200,7,1696.97
4,off,6,0.113268,0.400,7,404.84
5,off,6,0.150835,0.200,7,1697.71
6,off,6,0.128956,0.200,7,406.83
7,off,6,0.123817,0.400,7,1696.20
8,off,6,0.143305,0.200,7,427.98
9,off,6,0.137930,0.200,7,1718.26
10,off,6,0.128970,0.200,7,402.76
11,off,6,0.135873,0.400,7,1697.52
12,off,6,0.135463,0.400,7,401.97
13,off,6,0.133702,0.200,7,1685.34
14,off,6,0.133989,0.400,7,406.28
15,off,6,0.121743,0.400,7,1686.18
16,off,6,0.147298,0.200,7,404.00
17,off,6,0.129156,0.400,7,1688.45
18,off,6,0.146451,0.200,7,403.03
19,off,6,0.154866,0.200,7,1686.25
20,off,6,0.140537,0.200,7,402.50
21,off,6,0.150751,0.200,7,1686.22
22,off,6,0.152071,0.200,7,403.85
23,off,6,0.127556,0.400,7,1768.71
24,off,6,0.153528,0.000,7,411.12
25,off,6,0.151716,0.200,7,1785.73
26,off,6,0.126430,0.200,7,456.67
27,off,6,0.127305,0.200,7,1749.69
28,off,6,0.139451,0.200,7,447.08
29,off,6,0.143514,0.200,7,1778.08
30,off,6,0.111906,0.200,7,407.81
31,off,6,0.115799,0.200,7,1773.73
32,off,6,0.126522,0.400,7,462.78
33,off,6,0.135742,0.200,7,1798.81
34,off,6,0.134259,0.200,7,513.47
35,off,6,0.139536,0.200,7,1763.33
36,off,6,0.130395,0.400,7,436.80
37,off,6,0.143549,0.200,7,1862.59
38,off,6,0.143360,0.200,7,440.42
39,off,6,0.125401,0.200,7,1762.44
40,off,6,0.123240,0.200,7,403.24
41,off,6,0.139571,0.200,7,1689.78
42,off,6,0.138287,0.400,7,402.73
43,off,6,0.136225,0.200,7,1688.11
44,off,6,0.159564,0.200,7,402.04
45,off,6,0.127097,0.200,7,1690.45
46,off,6,0.146587,0.200,7,405.22
47,off,6,0.146409,0.200,7,1703.61
48,off,6,0.150813,0.200,7,404.86
49,off,6,0.153994,0.200,7,1716.82
50,off,6,0.174241,0.200,7,406.76
51,off,6,0.178824,0.000,7,1710.24
52,off,6,0.132577,0.200,7,410.39
53,off,6,0.156044,0.200,7,1692.76
54,off,6,0.143250,0.200,7,401.09
55,off,6,0.140654,0.000,7,1689.47
56,off,6,0.162496,0.200,7,403.03
57,off,6,0.146252,0.200,7,1688.44
58,off,6,0.139173,0.200,7,402.28
59,off,6,0.132207,0.400,7,1693.96
60,off,6,0.137282,0.200,7,405.82
61,off,6,0.146366,0.200,7,1699.17
62,off,6,0.133968,0.200,7,404.35
63,off,6,0.150302,0.200,7,1696.31
64,off,6,0.142571,0.400,7,404.58
65,off,6,0.156139,0.200,7,1694.71
66,off,6,0.154708,0.200,7,402.08
67,off,6,0.134927,0.400,7,1695.48
68,off,6,0.130980,0.200,7,422.71
69,off,6,0.174239,0.200,7,1691.36
70,off,6,0.158838,0.200,7,406.18
71,off,6,0.147255,0.000,7,1691.76
72,off,6,0.173366,0.200,7,404.36
73,off,6,0.145558,0.200,7,1691.80
74,off,6,0.146229,0.200,7,402.42
75,off,6,0.134776,0.400,7,1691.72
76,off,6,0.169883,0.200,7,403.59
77,off,6,0.134724,0.400,7,1690.49
78,off,6,0.150439,0.000,7,404.78
79,off,6,0.147079,0.200,7,1695.50
80,off,6,0.140895,0.200,7,404.49
81,off,6,0.138070,0.200,7,1693.24
82,off,6,0.123085,0.400,7,403.34
83,off,6,0.161295,0.200,7,1693.32
84,off,6,0.115477,0.400,7,404.03
85,off,6,0.139427,0.400,7,1718.42
86,off,6,0.134953,0.200,2,428.95
87,off,6,0.165993,0.400,7,1686.55
88,off,6,0.151582,0.200,7,401.59
89,off,6,0.140297,0.400,7,1685.23
90,off,6,0.154863,0.200,7,400.41
91,off,6,0.135024,0.200,7,1690.26
92,off,6,0.144936,0.200,7,403.58
93,off,6,0.138736,0.400,7,1688.56
94,off,6,0.127202,0.200,7,403.28
95,off,6,0.143112,0.200,7,1704.01
96,off,6,0.140488,0.200,7,402.72
97,off,6,0.137671,0.200,7,1688.38
98,off,6,0.165031,0.200,7,399.30
99,off,6,0.125289,0.200,7,1685.22
100,off,6,0.142535,0.200,7,401.39
101,off,6,0.152759,0.200,7,1685.77
102,off,6,0.133557,0.400,7,399.55
103,off,6,0.128077,0.400,7,1686.00
104,off,6,0.149337,0.200,7,399.89
105,off,6,0.163076,0.000,7,1686.33
106,off,6,0.122912,0.200,7,398.85
107,off,6,0.155200,0.400,7,1685.44
108,off,6,0.137056,0.200,7,404.40
109,off,6,0.145944,0.200,7,1684.93
110,off,6,0.152547,0.000,7,398.88
111,off,6,0.145517,0.200,7,1685.68
112,off,6,0.137127,0.200,7,401.59
113,off,6,0.133440,0.200,7,1685.35
114,off,6,0.135527,0.200,7,419.01
115,off,6,0.134081,0.400,7,1684.64
116,off,6,0.125862,0.200,7,401.10
117,off,6,0.140743,0.200,7,1684.74
118,off,6,0.147626,0.400,7,399.57
119,off,6,0.134131,0.200,7,1684.42
120,off,6,0.129865,0.200,7,400.72
121,off,6,0.149810,0.200,7,1687.88
122,off,6,0.139605,0.200,7,400.20
123,off,6,0.144105,0.200,7,1688.01
124,off,6,0.137840,0.200,7,402.01
125,off,6,0.139530,0.200,7,1692.59
126,off,6,0.149303,0.000,7,399.57
127,off,6,0.144431,0.400,7,1689.08
128,off,6,0.125118,0.400,7,401.39
129,off,6,0.141700,0.400,7,1684.65
130,off,6,0.142034,0.200,7,399.97
131,off,6,0.129329,0.000,7,1689.96
132,off,6,0.146326,0.200,7,400.00
133,off,6,0.139989,0.200,7,1699.45
134,off,6,0.157981,0.200,7,400.71
135,off,6,0.148868,0.200,7,1690.28
136,off,6,0.121029,0.600,7,402.44
137,off,6,0.140906,0.400,7,1692.10
138,off,6,0.138253,0.400,7,402.24
139,off,6,0.132147,0.200,7,1691.60
140,off,6,0.146733,0.200,7,402.05
141,off,6,0.129513,0.200,7,1691.88
142,off,6,0.127324,0.200,7,402.87
143,off,6,0.145701,0.200,7,1689.12
144,off,6,0.126038,0.200,7,401.26
145,off,6,0.134308,0.200,7,1690.88
146,off,6,0.133902,0.200,7,402.01
147,off,6,0.153596,0.000,7,1691.66
148,off,6,0.129945,0.400,7,401.46
149,off,6,0.137537,0.200,7,1692.78
150,off,6,0.137435,0.000,7,403.47
151,off,6,0.133456,0.200,7,1693.59
152,off,6,0.130600,0.200,7,403.28
153,off,6,0.133841,0.400,7,1703.71
154,off,6,0.152363,0.200,7,402.63
155,off,6,0.146411,0.200,7,1694.66
156,off,6,0.126938,0.400,7,404.71
157,off,6,0.117567,0.400,7,1692.81
158,off,6,0.138579,0.200,7,407.11
159,off,6,0.150991,0.400,7,1692.19
160,off,6,0.146486,0.200,7,401.87
161,off,6,0.125003,0.400,7,1690.03
162,off,6,0.141957,0.200,7,402.32
163,off,6,0.135812,0.200,7,1690.04
164,off,6,0.142481,0.400,7,402.11
165,off,6,0.135763,0.400,7,1692.65
166,off,6,0.146544,0.200,7,401.90
167,off,6,0.139368,0.200,7,1696.65
168,off,6,0.138924,0.200,7,402.14
169,off,6,0.155606,0.200,7,1692.18
170,off,6,0.155363,0.000,7,402.76
171,off,6,0.153423,0.400,7,1795.92
172,off,6,0.140236,0.200,7,403.61
173,off,6,0.129850,0.400,7,1733.38
174,off,6,0.132786,0.400,7,418.05
175,off,6,0.124215,0.400,7,1898.58
176,off,6,0.157759,0.000,7,538.64
177,off,6,0.150188,0.200,7,1967.67
178,off,6,0.136643,0.200,7,489.65
179,off,6,0.141201,0.000,7,1875.07
180,off,6,0.148135,0.200,7,432.59
181,off,6,0.143891,0.200,7,1934.30
182,off,6,0.120717,0.200,7,434.59
183,off,6,0.160154,0.200,7,1872.74
184,off,6,0.174853,0.200,7,420.89
185,off,6,0.129209,0.200,7,1772.57
