ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.128883,0.400,7,1772.55
1,fepgate,6,0.131071,0.200,7,419.51
2,fepgate,6,0.133520,0.200,7,1762.29
3,fepgate,6,0.129645,0.200,7,431.94
4,fepgate,6,0.128450,0.000,7,1758.78
5,fepgate,6,0.127419,0.400,7,428.76
6,fepgate,6,0.129240,0.400,7,1759.49
7,fepgate,6,0.127220,0.200,7,430.05
8,fepgate,6,0.127720,0.400,7,1754.92
9,fepgate,6,0.127957,0.200,7,427.61
10,fepgate,6,0.129259,0.000,7,1759.83
11,fepgate,6,0.126492,0.200,7,435.04
12,fepgate,6,0.112088,0.400,7,1769.91
13,fepgate,6,0.126006,0.400,7,434.75
14,fepgate,6,0.130719,0.200,7,1768.77
15,fepgate,6,0.120677,0.400,7,436.11
16,fepgate,6,0.111455,0.200,7,1766.70
17,fepgate,6,0.132797,0.200,7,436.07
18,fepgate,6,0.127248,0.200,7,1763.47
19,fepgate,6,0.130391,0.200,7,430.57
20,fepgate,6,0.131490,0.200,7,1756.16
21,fepgate,6,0.121012,0.400,7,429.24
22,fepgate,6,0.128855,0.200,7,1758.16
23,fepgate,6,0.125244,0.200,7,430.50
24,fepgate,6,0.131906,0.200,7,1760.57
25,fepgate,6,0.129915,0.200,7,431.34
26,fepgate,6,0.131349,0.200,7,1748.18
27,fepgate,6,0.126394,0.400,7,428.79
28,fepgate,6,0.124664,0.400,7,1749.38
29,fepgate,6,0.131619,0.200,7,430.75
30,fepgate,6,0.130193,0.200,7,1754.25
31,fepgate,6,0.130914,0.200,7,430.66
32,fepgate,6,0.128769,0.200,7,1751.87
33,fepgate,6,0.128121,0.400,7,431.17
34,fepgate,6,0.118940,0.200,7,1752.26
35,fepgate,6,0.128697,0.400,7,429.53
36,fepgate,6,0.114748,0.400,7,1760.42
37,fepgate,6,0.131031,0.200,7,429.29
38,fepgate,6,0.124939,0.200,7,1756.81
39,fepgate,6,0.127698,0.400,7,429.89
40,fepgate,6,0.129224,0.400,7,1758.45
41,fepgate,6,0.126243,0.200,7,429.45
42,fepgate,6,0.128285,0.200,7,1757.08
43,fepgate,6,0.130040,0.200,7,430.90
44,fepgate,6,0.121252,0.000,7,1757.00
45,fepgate,6,0.134057,0.400,7,429.05
46,fepgate,6,0.133068,0.200,7,1756.62
47,fepgate,6,0.126723,0.200,2,431.12
48,fepgate,6,0.130547,0.200,7,1757.60
49,fepgate,6,0.131008,0.200,7,428.51
50,fepgate,6,0.121732,0.200,7,1757.82
51,fepgate,6,0.125568,0.200,7,433.08
52,fepgate,6,0.132013,0.200,7,1756.27
53,fepgate,6,0.133402,0.000,7,429.25
54,fepgate,6,0.129197,0.200,7,1763.77
55,fepgate,6,0.126934,0.200,7,430.51
56,fepgate,6,0.132296,0.200,7,1759.34
57,fepgate,6,0.127140,0.400,7,429.76
58,fepgate,6,0.132353,0.400,7,1757.61
59,fepgate,6,0.123661,0.200,7,430.50
60,fepgate,6,0.128631,0.200,7,1763.34
61,fepgate,6,0.131476,0.200,7,429.89
62,fepgate,6,0.129068,0.400,7,1761.88
63,fepgate,6,0.130989,0.200,7,431.52
64,fepgate,6,0.127952,0.200,7,1761.53
65,fepgate,6,0.120669,0.400,7,430.39
66,fepgate,6,0.132543,0.200,7,1761.91
