ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.116356,0.200,7,1761.37
1,fepgate,6,0.113831,0.200,7,418.23
2,fepgate,6,0.119276,0.000,7,1763.55
3,fepgate,6,0.115392,0.400,7,431.62
4,fepgate,6,0.119977,0.200,7,1760.03
5,fepgate,6,0.117492,0.400,7,429.81
6,fepgate,6,0.119808,0.200,7,1759.79
7,fepgate,6,0.112089,0.200,7,430.71
8,fepgate,6,0.117590,0.400,7,1759.48
9,fepgate,6,0.121389,0.400,7,428.37
10,fepgate,6,0.119636,0.400,7,1758.12
11,fepgate,6,0.116541,0.200,7,430.30
12,fepgate,6,0.115496,0.400,7,1756.39
13,fepgate,6,0.116271,0.400,7,428.53
14,fepgate,6,0.117306,0.400,7,1763.31
15,fepgate,6,0.114606,0.400,7,430.13
16,fepgate,6,0.118252,0.200,7,1760.78
17,fepgate,6,0.111454,0.400,7,428.13
18,fepgate,6,0.119400,0.200,7,1755.80
19,fepgate,6,0.119564,0.200,7,430.08
20,fepgate,6,0.116625,0.200,7,1759.19
21,fepgate,6,0.115661,0.400,7,431.39
22,fepgate,6,0.118916,0.400,7,1757.24
23,fepgate,6,0.116794,0.400,7,428.78
24,fepgate,6,0.114963,0.400,7,1755.19
25,fepgate,6,0.118286,0.400,7,427.65
26,fepgate,6,0.119262,0.200,7,1759.36
27,fepgate,6,0.113262,0.400,7,430.58
28,fepgate,6,0.121742,0.200,7,1756.99
29,fepgate,6,0.117955,0.400,7,431.29
30,fepgate,6,0.118448,0.400,7,1759.35
31,fepgate,6,0.117883,0.400,7,430.92
32,fepgate,6,0.111996,0.200,7,1768.27
33,fepgate,6,0.114359,0.400,7,429.36
34,fepgate,6,0.118562,0.200,7,1766.00
35,fepgate,6,0.112958,0.400,7,439.20
36,fepgate,6,0.114206,0.200,7,1778.72
37,fepgate,6,0.116875,0.400,7,436.29
38,fepgate,6,0.115115,0.200,7,1775.86
39,fepgate,6,0.116916,0.200,7,437.52
40,fepgate,6,0.115376,0.200,7,1778.71
41,fepgate,6,0.120212,0.200,7,447.12
42,fepgate,6,0.115509,0.400,7,1761.39
43,fepgate,6,0.110780,0.400,7,431.03
44,fepgate,6,0.115699,0.200,7,1761.39
45,fepgate,6,0.117667,0.200,7,429.01
46,fepgate,6,0.115805,0.400,7,1758.68
47,fepgate,6,0.117074,0.200,7,430.46
