ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.158293,0.200,7,1927.07
1,off,6,0.144628,0.000,7,1722.75
2,off,6,0.142465,0.200,7,400.73
3,off,6,0.142118,0.200,7,1729.78
4,off,6,0.141633,0.200,7,398.99
5,off,6,0.123286,0.400,7,1740.44
6,off,6,0.136498,0.200,7,401.21
7,off,6,0.138845,0.000,7,1747.57
8,off,6,0.137672,0.200,7,401.15
9,off,6,0.143063,0.200,7,1738.78
10,off,6,0.150353,0.200,7,399.65
11,off,6,0.131905,0.400,7,1718.79
12,off,6,0.143794,0.200,7,396.96
13,off,6,0.136569,0.200,7,1719.37
14,off,6,0.155352,0.400,7,400.81
15,off,6,0.131949,0.200,7,1719.51
16,off,6,0.129304,0.200,7,398.00
17,off,6,0.121083,0.200,7,1719.11
18,off,6,0.152779,0.200,7,401.10
19,off,6,0.168805,0.200,7,1720.56
20,off,6,0.135360,0.200,7,397.71
21,off,6,0.145108,0.400,7,1719.65
22,off,6,0.147700,0.200,7,399.78
23,off,6,0.138133,0.400,7,1720.38
24,off,6,0.150024,0.400,7,398.31
25,off,6,0.166197,0.200,7,1728.12
26,off,6,0.168119,0.200,7,399.45
27,off,6,0.142986,0.000,7,1717.52
28,off,6,0.158272,0.200,7,399.49
29,off,6,0.134075,0.200,7,1720.12
30,off,6,0.130936,0.200,2,402.90
31,off,6,0.150302,0.200,7,1726.95
32,off,6,0.138511,0.400,7,398.03
33,off,6,0.153667,0.000,7,1724.89
34,off,6,0.141850,0.200,7,398.95
35,off,6,0.133150,0.400,7,1722.96
36,off,6,0.143349,0.400,7,400.91
37,off,6,0.141323,0.200,7,1723.53
38,off,6,0.156813,0.200,7,398.98
39,off,6,0.145655,0.200,7,1720.53
40,off,6,0.139911,0.200,7,398.76
41,off,6,0.143238,0.200,7,1722.78
42,off,6,0.127669,0.200,7,399.07
43,off,6,0.126241,0.400,7,1719.96
44,off,6,0.152441,0.200,7,399.62
45,off,6,0.126233,0.400,7,1740.63
46,off,6,0.148379,0.200,7,400.37
47,off,6,0.150968,0.200,7,1722.08
48,off,6,0.142796,0.200,7,399.64
49,off,6,0.144784,0.200,7,1723.45
50,off,6,0.138184,0.200,7,399.16
51,off,6,0.121452,0.200,7,1723.77
52,off,6,0.144196,0.200,7,399.18
53,off,6,0.139959,0.200,7,1721.61
54,off,6,0.119275,0.400,7,400.80
55,off,6,0.147584,0.200,7,1722.74
56,off,6,0.140505,0.200,7,400.09
57,off,6,0.126098,0.400,7,1721.08
58,off,6,0.138674,0.200,7,400.15
59,off,6,0.139866,0.200,7,1721.29
60,off,6,0.137592,0.200,7,401.28
61,off,6,0.126187,0.400,7,1721.71
62,off,6,0.134247,0.200,7,400.20
63,off,6,0.134468,0.200,7,1733.69
64,off,6,0.116446,0.400,7,399.42
65,off,6,0.131094,0.200,7,1725.01
66,off,6,0.135647,0.200,7,400.38
67,off,6,0.123441,0.200,7,1723.78
68,off,6,0.126802,0.200,2,398.89
69,off,6,0.143982,0.400,7,1719.13
70,off,6,0.131906,0.200,7,399.28
71,off,6,0.157616,0.200,7,1720.36
72,off,6,0.139571,0.200,7,397.65
73,off,6,0.160830,0.200,7,1718.86
